Name,Smile,AKTIP,BCL_XL,BCL_XL_SS,ENE_A9,EWSR1,FGFR,Glutamine_RS,HBV,HIV_SL3,KLF6_mut,KLF6_wt,MALAT1,NRAS,PreQ1,Pre_miR_17,Pre_miR_21,Pre_miR_31,Pro_mut,Pro_wt,RRE2B_MeA,RRE2B,SAM_ll,TPP,TERRA,ZTP,Zika3PrimeUTR,Zika_NS5
0462-0328,Cc1c(C)sc(N)n1,0,0,0.0,0.0,0,0,0.0,0,1,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0
0478-0670,CC(Nc1nc2ccc(cc2s1)N)=O,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0,0.0,0.0,0.0,0
0488-0194,c1nnc(N)s1,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0,0.0,0.0,0.0,0
0507-0170,C(C1COc2ccccc2O1)O,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0,0.0,0.0,0.0,0
0509-0281,c1cc(c2c(c1)sc(N)n2)O,0,0,0.0,0.0,0,1,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0
0527-0256,Cc1ccc(cc1C)NCC(C(C(CO)O)O)O,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,1.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0
0632-0836,C(=Cc1nc2ccccc2o1)c1ccc(cc1)N,0,0,0.0,0.0,0,0,1.0,0,1,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,0,0.0,0.0,0.0,0
0632-0897,CN(C)c1ccc(C=Cc2nc3cc(ccc3[nH]2)N)cc1,0,0,0.0,1.0,0,0,1.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0,0.0,0.0,0.0,0
0658-0270,c1ccc2C(c3c(ccc(C(c4cccc5ccccc45)=O)c3N)C(c2c1)=O)=O,0,0,0.0,0.0,0,0,0.0,0,1,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0
0717-0954,C(c1nc2ccccc2[nH]1)OC(c1ccc(cc1)N)=O,0,0,0.0,0.0,0,0,0.0,0,1,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0
0717-0957,C(=Cc1nc2cc(ccc2[nH]1)N)c1ccccc1,0,0,0.0,0.0,0,0,1.0,0,1,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0
0812-1025,CCN(CC)CCOC(c1ccc2c(c1)sc(NC(c1ccc(cc1)N)=O)n2)=O,0,1,0.0,0.0,1,0,1.0,0,1,0,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1,0.0,1.0,0.0,1
0836-0042,Cc1ccc(cc1)NCC(c1ccc(cc1)c1ccccc1)=O,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,0,0.0,0.0,0.0,0
0846-0051,C1c2ccccc2c2ccc(cc12)c1csc(N)n1,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,0,0.0,1.0,0.0,0
0866-0023,CSCCC(C(O)=O)Nc1c2c3CCCCc3sc2ncn1,1,0,0.0,0.0,1,0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0
0892-0702,Cc1c(C)c(C)nc2c1c(c(C(c1ccc(cc1)[Cl])=O)s2)N,0,0,0.0,0.0,0,0,1.0,0,1,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0,0.0,0.0,0.0,0
0922-0021,CNc1ccc(cc1C(c1ccccc1[Cl])=O)[Br],0,0,0.0,0.0,0,0,0.0,0,1,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0
100120,Cc(cc(cc1)-n2c(NC=NC3=O)c3nc2)c1N,0,0,0.0,1.0,1,0,,0,0,0,0,0,,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,,0.0,0.0,0
101266,Cc(cccc1)c1NC(NCCN1CC1)=O,0,0,0.0,0.0,0,0,,0,0,0,0,0,,0,0.0,0.0,0.0,0.0,0.0,1,1,1.0,1,,0.0,0.0,0
101298,O=C(NCCCN1CC1)Nc1cccc2ccccc12,1,0,0.0,0.0,0,0,,0,0,0,0,0,,1,0.0,0.0,0.0,0.0,0.0,1,0,1.0,1,,0.0,0.0,1
103520,Nc1nc(N)nc(Nc(cc2)ccc2Br)c1/C=N/c(cc1)ccc1Br,0,0,0.0,0.0,0,0,,0,0,0,0,0,,0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,1,,0.0,0.0,0
10416,c(cc1)ccc1-n1c(cccc2)c2c2c1cccc2,0,0,0.0,0.0,0,0,,0,0,0,0,0,,0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0,,0.0,0.0,0
104969,CC(C=CC1=NC(Cl)=C2)=CN1C2=O,0,0,0.0,0.0,0,1,,0,0,1,0,1,,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,,0.0,0.0,0
107582,[O-][N+](c(cc1)cc(C(c2c3)=O)c1-c2cc(Br)c3/N=C(/C(F)(F)F)\NO)=O,0,0,0.0,0.0,0,0,,0,0,0,0,0,,0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,0,,0.0,0.0,0
1080-0649,CC(c1ccc(cc1)NC1c2ccc(c(c2C(=O)O1)OC)OC)=O,1,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0
108655,CC(C)=CCC/C(/C)=C\C(N)=O,0,0,0.0,0.0,0,0,,0,0,0,0,0,,1,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,,0.0,0.0,0
108783,O=C(C(C(N1)=O)=Cc2csc3c2cccc3)NC1=O,1,0,0.0,0.0,0,0,,0,0,0,0,0,,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,,0.0,0.0,0
1147-0135,CC[N+]1C(C)CSC=1C=CNc1ccccc1,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0,0.0,0.0,0.0,0
1159-0328,c1ccc(cc1)N1C(C(Nc2ccccc2C(O)=O)SC1=O)=O,0,0,0.0,0.0,0,0,0.0,0,1,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0
1159-0329,c1ccc(cc1)N1C(C(Nc2cccc(c2)C(O)=O)SC1=O)=O,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,1.0,0.0,1.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0
117908,C(CSc1nc(cccc2)c2s1)Nc1ccccc1,0,0,0.0,0.0,0,0,,0,0,0,0,0,,0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,0,,0.0,0.0,0
117922,NC(NC(c1nccnc1C(O)=O)=O)=O,1,0,0.0,0.0,0,0,,0,0,0,0,0,,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,,0.0,0.0,0
1189-2046,CC1CCN(CC1)CC(COc1ccccc1CC=C)O,0,0,0.0,0.0,1,1,0.0,0,0,0,0,0,1.0,0,0.0,1.0,0.0,0.0,0.0,0,0,0.0,0,1.0,0.0,0.0,0
120844,CCC(C)N(C(C)=C1)N(C(C)CC)C1=O,0,0,0.0,0.0,0,0,,0,0,0,0,0,,0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,1,,0.0,0.0,0
12129103,C1CNCc2cc(CN3CCc4nnc(c5ccccc5)n4CC3)nn2C1,0,0,0.0,0.0,0,0,,0,0,0,0,0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0
12182839,Cc1cc(nc2cc(ccc12)OC)N1C[C@H](C2CC2)[C@H](C1)N,1,0,0.0,0.0,0,0,,0,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1,0.0,0.0,0.0,0
121908,CCCCCOc(cc1)ccc1N(C(C(C)CN1)=O)C1=S,0,0,0.0,0.0,0,0,,0,0,0,0,0,,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,,0.0,1.0,0
12190856,C1CCN(C1)C([C@@H]1C[C@H](CNC1)C(N1CCN(CC1)c1ccncc1)=O)=O,0,0,1.0,0.0,0,0,,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,1.0,0
12201213,C1[C@H](c2ccccc2)[C@H](CN1S(c1ccc2c(c1)NC(N2)=O)(=O)=O)N,0,0,0.0,0.0,0,0,,0,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0
122253,O=C(C1C2)N(CC3)C2C3(c(cccc2)c2N23)C3=C1C=CC2=O,0,0,0.0,0.0,0,0,,0,0,0,0,0,,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,,0.0,1.0,0
122385,CC(NS(c(cc1)cc2c1sc(C)n2)(=O)=O)=O,1,1,1.0,1.0,1,1,,1,0,1,1,1,,1,0.0,1.0,1.0,1.0,1.0,0,0,0.0,0,,0.0,1.0,1
12244291,CN(CCCc1nccn1C)c1c2CCNCc2nc(c2ccncc2)n1,0,0,0.0,0.0,1,0,,0,0,0,0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0,1.0,0.0,0.0,0
12262594,C1CC(CNC1)(CNCc1cccc(c1)OCc1ccccc1)O,0,0,,,0,0,,0,0,0,0,0,0.0,0,,,,,,0,0,1.0,0,0.0,,,0
12267434,Cc1nc(CCN)cc(n1)N(C)Cc1cccc(c1)C(F)(F)F,0,0,0.0,0.0,0,0,,0,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1,0.0,0.0,0.0,0
123458,c(cc1)cc2c1Nc(cccc1)c1C=C2,0,0,0.0,0.0,0,0,,0,0,0,0,0,,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,,1.0,0.0,0
12353320,CC[C@H](C)[C@@H](C(N1CCC(CC1)Cn1cc(C2CCCC2)nn1)=O)N,0,0,0.0,0.0,0,0,,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,1.0,0
12360715,CC(C)Oc1cc(nc(N)n1)N1CCC(CC1)c1cc(nc(C)n1)O,0,0,0.0,0.0,0,0,,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0,0.0,0.0,0.0,0
12362879,COc1ccc(CC(N2CCC(CC2)C(Cc2ccccc2)O)=O)c(c1)OC,0,0,0.0,0.0,0,0,,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,1
12462459,C(CO)C(N1C[C@H]2CC[C@@H]1CN(C2)C(c1cnccn1)=O)=O,0,1,,,0,0,,0,0,0,0,0,0.0,0,,,,,,0,0,0.0,0,0.0,,,0
12466595,Cc1csc2c(ncnc12)N1CCC(CC1)NCC1=CNC(NC1=O)=O,0,0,,,0,0,,0,0,0,0,0,0.0,0,,,,,,0,0,0.0,0,0.0,,,1
12498605,Cc1c(CCN(C)c2c3CCNCc3nc(n2)N(C)C)scn1,0,0,,,0,0,,0,0,0,0,0,1.0,0,,,,,,0,0,0.0,0,0.0,,,0
12499963,CC1=CC(C)=NC(N1CCNC(C1CC2(CCNCC2)CN1C)=O)=O,1,0,0.0,0.0,0,0,,0,1,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0
12553104,CN(CC(N1C[C@@H](CN2CCCCCC2)[C@H](C1)CO)=O)Cc1ccccc1F,0,0,0.0,0.0,1,0,,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0
12576044,CN1CCN(CC1)[C@H]1CCN(C[C@H]1CCCO)C(c1cccc2c1ccn2C)=O,1,0,,,1,0,,0,0,0,0,0,1.0,0,,,,,,0,0,0.0,0,0.0,,,0
12577678,C1CCN(C1)Cc1cc(c2c(c3ccccc3)ncn2CCO)sc1,0,0,0.0,0.0,0,0,,0,1,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0
12605761,Cc1cc(cc2c(ccnc12)N1C[C@H](C2CC2)[C@H](C1)N)[Cl],0,0,,,0,0,,0,0,0,1,0,0.0,0,,,,,,0,0,0.0,0,0.0,,,1
12617773,C1CCN(C1)Cc1cc(CN2CCC(Cc3ccc(CO)cc3)C2)sc1,1,0,0.0,0.0,0,0,,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0
12634687,C1CN(Cc2ccccc12)c1c2CCNCc2nc(c2cccnc2)n1,0,0,,,0,0,,0,0,0,0,0,0.0,1,,,,,,0,1,0.0,1,0.0,,,1
12644,CCOC(Nc1cccc([As](O)(O)=O)c1)=O,0,0,0.0,1.0,0,0,,0,0,0,0,0,,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,,0.0,0.0,0
12711466,C(CNC1CCSCC1)COc1cccnc1,0,0,0.0,0.0,0,0,,0,0,1,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0
12766557,C1C(CN)Oc2c1cc(cc2F)c1ccc2c(cco2)c1,0,0,0.0,0.0,0,0,,0,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0,1,1.0,1,0.0,0.0,0.0,0
12801231,CC(c1cc(c2ccccc2)[nH]n1)N(C)C(c1cn(CCN)nn1)=O,0,0,0.0,0.0,0,0,,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,0,0.0,0.0,0.0,0
12865,COc1cc2c(C(C(CC3CC4)N4CC3C=C)O)ccnc2cc1.Br,0,0,0.0,0.0,0,0,,0,0,0,0,0,,0,0.0,0.0,0.0,1.0,0.0,0,0,0.0,0,,0.0,0.0,0
1287-0211,CN(C)c1ccc(cc1)c1nc2cc(ccc2o1)N,0,0,1.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0
12888021,Cc1cccc2c(c[nH]c12)c1cccc(CCN)c1,0,0,0.0,0.0,0,0,,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0,0.0,0.0,0.0,0
12892198,C(c1cc(ccc1F)c1ccc(cc1)c1csc(N)n1)O,0,0,0.0,0.0,0,0,,0,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1,0.0,0.0,0.0,0
12893837,C1CN(CCC1c1cc(Cc2ccccc2)n[nH]1)C(C1CNCCO1)=O,0,0,0.0,0.0,0,0,,0,1,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0
12894826,CN(Cc1cc(COC)[nH]n1)Cc1cc2CNCCCn2n1,0,0,0.0,0.0,0,1,,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0
12918323,Cc1c(C)nc(nc1N1C[C@@H](CN2CCCCC2)[C@H](C1)CO)N1CCCC1,0,0,0.0,0.0,0,0,,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,1.0,0
12921403,C1CNCCC12CC(C(N1CCN(CC1)c1cccc(c1[Cl])[Cl])=O)NC2,0,0,0.0,0.0,0,0,,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0,0.0,0.0,0.0,0
12943989,CCCc1nc(CNC2CCSCC2)cs1,0,0,0.0,0.0,0,1,,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0
12949467,CCc1cc(NCC2CCCNC2)n2c(c(C)c(C)n2)n1,0,0,0.0,0.0,0,0,,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,0,0,0.0,0,0.0,0.0,0.0,0
13043417,CNC(C1CCCN(C1)c1c2CCNCCc2nc(c2ccco2)n1)=O,0,0,0.0,0.0,0,0,,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,1.0,0.0,0.0,0
13047935,C1C(CN)Oc2c1cc(cc2[Cl])c1ccc(cn1)C(N)=O,0,0,0.0,0.0,0,0,,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,0,0.0,0.0,0.0,0
13051,CC(C)c1cc(Nc(c2c3)c(ccc(Cl)c4)c4nc2ccc3OC)c(C)cc1O,0,0,0.0,0.0,0,0,,0,0,0,0,0,,0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0,,0.0,0.0,0
130847,O=C1OC(c2cc(-c3ccccc3)nc3ccccc23)=NN1,0,0,0.0,0.0,0,0,,0,0,0,0,0,,0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,1,,0.0,0.0,0
13102440,CN1CCCN(CC1)C[C@H]1C[C@@H](CN(C1)C(c1ccc(OC)o1)=O)CO,0,0,0.0,1.0,0,0,,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0
13119286,Cc1c(C(C(N2CCC(CCCc3ccccc3)CC2)=O)N)c(C)[nH]n1,0,0,0.0,0.0,0,0,,0,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0
13150762,C(c1ccc(c(c1)c1cccc2ccnn12)F)N,0,0,,,0,0,,0,0,0,0,0,0.0,0,,,,,,0,1,0.0,0,0.0,,,0
13202927,C1C(CN1Cc1ccc(cc1)OCCO)Oc1ccccc1[Cl],0,0,0.0,0.0,0,0,,0,1,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,1,1.0,1,0.0,0.0,0.0,1
13216682,CN1C(C=C(C=N1)N1CCC(CC1)CNC([C@H](Cc1c[nH]cn1)N)=O)=O,0,0,,,0,0,,0,0,0,0,0,0.0,0,,,,,,1,0,0.0,0,0.0,,,0
13277346,C(Cc1ccco1)C(N1C[C@@H](CN2CCOCC2)[C@H](C1)CO)=O,0,0,0.0,0.0,0,0,,0,0,0,1,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0
13312934,C1CN(CCC1N1CCC(CC1)O)c1cc(CCN)ncn1,1,0,0.0,0.0,0,0,,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0
133351,Nc(ccc(Oc(cc1)cc([N+]([O-])=O)c1N)c1)c1[N+]([O-])=O,0,0,0.0,0.0,0,0,,0,0,0,0,0,,0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,0,,0.0,0.0,0
13336906,CN1CCCN(CC1)C[C@@H]1CN(C[C@@H]1CO)C(c1ccnc2ccccc12)=O,0,0,,,1,0,,0,0,0,0,0,0.0,0,,,,,,0,0,0.0,0,0.0,,,0
13410217,CC(Cn1cncn1)NC1CCN(CC1)c1nc2ccc(cc2s1)[Cl],0,0,,,0,0,,0,0,0,0,0,0.0,0,,,,,,0,1,0.0,0,0.0,,,0
13416689,CC(C)Oc1cc(NCC2=Cc3ccc(cc3NC2=O)F)nc(N)n1,0,0,0.0,0.0,0,0,,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,0,0.0,0.0,0.0,0
13478828,CN(C)c1nc2CNCCc2c(NCc2cc(COC)[nH]n2)n1,0,0,0.0,0.0,0,0,,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0,0.0,0.0,0.0,0
13487,CCN(CC)c1ccc(/C=C/c2nc3ccccc3c(-c3ccccc3)c2)cc1,0,0,0.0,0.0,0,0,,0,0,0,0,0,,0,0.0,0.0,1.0,0.0,0.0,0,0,0.0,0,,0.0,0.0,0
13525118,C1CC2(CCN(CC2)CC(C(F)(F)F)O)CN(CC(N)=O)C1=O,1,0,0.0,0.0,0,0,,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0
135412,Cc1c(C)c(-c2c(CC#N)ccc(C)c2C)c(CC#N)cc1,0,1,0.0,0.0,0,1,,0,1,1,0,0,,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,,0.0,0.0,0
13551284,CCN1CCN(C(c2ccc3c(CCCN3)c2)=O)[C@H]2CS(C[C@@H]12)(=O)=O,0,0,0.0,1.0,0,0,,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0
13609905,CN(CCO)C[C@@H]1CN(Cc2cccc3c4ccccc4sc23)C[C@@H]1CO,0,0,0.0,0.0,0,0,,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,1.0,0,0.0,0.0,0.0,0
13691493,C1CCCN(CC1)C(CCC(NC[C@@H]1CCNC[C@H]1O)=O)=O,0,0,0.0,0.0,0,0,,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,1.0,0.0,0
13692816,CN(Cc1cccc(c1)OCC=C)c1c2ccccc2nc(CCN)n1,0,0,,,1,0,,0,0,0,0,0,0.0,0,,,,,,0,0,1.0,0,0.0,,,0
13694326,C1C(Cc2ccccc12)N1CC[C@@H](c2ccc3c(c2)OCO3)[C@@H](C1)O,0,0,0.0,0.0,0,0,,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0,0.0,0.0,0.0,0
13724969,C1CNCc2cccc(c3ccc(c(c3)F)O)c12,0,0,,,0,0,,0,1,0,0,0,0.0,0,,,,,,0,0,0.0,0,0.0,,,0
13741411,C1CC(CCc2ccccc2C(F)(F)F)CN(C1)C(CN)=O,0,0,0.0,0.0,0,0,,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,1.0,1,0.0,0.0,0.0,0
13791,[O-][N+](c(cc(cc1)-c(cc2)ccc2[As](O)(O)=O)c1[As](O)(O)=O)=O,0,0,0.0,0.0,0,0,,0,0,0,0,1,,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,,0.0,0.0,0
13791249,CC(=C)COc1cccc(CNCCN2CCNC2=O)c1,0,0,0.0,0.0,0,1,,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0
13797550,Cc1cnc(nc1N)N1C[C@H]2[C@@H](C1)OC(N2CCCN1CCOCC1)=O,0,0,,,1,0,,0,0,0,0,0,0.0,0,,,,,,0,0,0.0,0,0.0,,,0
13860811,CN(Cc1ccc(cc1)n1cccn1)Cc1cccc(CCN)c1,1,0,0.0,0.0,0,0,,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0
