Target_RNA_ID	Target_RNA_name	A(((	A((.	A(..	A(.(	A.((	A.(.	A..(	A...	G(((	G((.	G(..	G(.(	G.((	G.(.	G..(	G...	C(((	C((.	C(..	C(.(	C.((	C.(.	C..(	C...	U(((	U((.	U(..	U(.(	U.((	U.(.	U..(	U...	
Target_189	165 ribD FMN Riboswitch Aptamer, B. subtilis	0.06748	0.0184	0.01227	0.01227	0.0	0.0	0.03681	0.1411	0.10429	0.03681	0.03067	0.01227	0.03681	0.00613	0.0184	0.07362	0.08589	0.02454	0.01227	0.00613	0.04294	0.0	0.00613	0.00613	0.07975	0.0184	0.0184	0.0	0.02454	0.0	0.0184	0.04908	
Target_190	FMN Riboswitch Aptamer, E. Coli	0.09091	0.00909	0.02727	0.00909	0.00909	0.0	0.04545	0.09091	0.06364	0.04545	0.02727	0.01818	0.06364	0.0	0.00909	0.06364	0.05455	0.05455	0.00909	0.0	0.04545	0.0	0.0	0.0	0.1	0.01818	0.02727	0.00909	0.00909	0.0	0.03636	0.06364	
Target_191	FMN Riboswitch Aptamer SA1, S. Aureus	0.12134	0.01674	0.00837	0.00837	0.01255	0.0	0.02092	0.12971	0.09205	0.01674	0.02092	0.00837	0.02092	0.0	0.00418	0.05858	0.06695	0.02929	0.0	0.0	0.01674	0.0	0.00837	0.0251	0.12971	0.01255	0.02929	0.0	0.0251	0.0	0.0251	0.09205	
Target_192	FMN Riboswitch Aptamer SA2, S. Aureus	0.09474	0.02105	0.0	0.01579	0.01053	0.0	0.01579	0.11579	0.09474	0.05263	0.02105	0.01579	0.02632	0.0	0.0	0.05789	0.06316	0.02105	0.00526	0.00526	0.05789	0.0	0.01053	0.0	0.10526	0.03158	0.03684	0.02632	0.02632	0.0	0.03158	0.03684	
Target_193	FMN Riboswitch, S. Davawensis	0.01342	0.00671	0.00671	0.04027	0.01342	0.0	0.03356	0.08054	0.11409	0.09396	0.02685	0.02685	0.04027	0.00671	0.00671	0.05369	0.12081	0.04027	0.00671	0.01342	0.08054	0.00671	0.01342	0.01342	0.02013	0.00671	0.04027	0.0	0.01342	0.0	0.02685	0.03356	
Target_194	TPP Riboswitch, B. Subtilis	0.08163	0.0102	0.02041	0.0102	0.05102	0.0	0.05102	0.06122	0.13265	0.04082	0.02041	0.0102	0.0102	0.0	0.03061	0.04082	0.10204	0.0102	0.03061	0.0	0.03061	0.0	0.0	0.0102	0.11224	0.05102	0.02041	0.0	0.02041	0.0	0.0102	0.03061	
Target_195	108 nt yjdF Riboswitch Construct, B. subtilis, Mutant 1	0.06604	0.01887	0.01887	0.00943	0.03774	0.0	0.01887	0.11321	0.0566	0.0283	0.0	0.0283	0.03774	0.0	0.00943	0.03774	0.0566	0.0283	0.0283	0.0	0.00943	0.0	0.00943	0.07547	0.08491	0.04717	0.0283	0.00943	0.0283	0.0	0.0283	0.08491	
Target_228	C. difficile guaA riboswitch	0.06061	0.0303	0.0303	0.0	0.0	0.0	0.01515	0.12121	0.12121	0.0303	0.01515	0.0	0.0303	0.0	0.01515	0.04545	0.09091	0.01515	0.01515	0.0	0.0303	0.0	0.04545	0.0303	0.09091	0.0	0.01515	0.0	0.0303	0.0	0.0	0.12121	
Target_229	lysC riboswitch	0.1097	0.0211	0.01266	0.01266	0.02954	0.00422	0.03376	0.08439	0.08017	0.0211	0.03797	0.01688	0.02954	0.00422	0.00844	0.03797	0.06751	0.02954	0.00422	0.00422	0.01688	0.0	0.01266	0.01688	0.12658	0.03376	0.02954	0.0	0.02532	0.00422	0.02532	0.05907	
Target_230	lysC riboswitch mutant 1 (M2)	0.12288	0.0339	0.01271	0.02966	0.02119	0.0	0.02542	0.05508	0.10593	0.01271	0.02119	0.02542	0.04661	0.00424	0.00424	0.02119	0.08898	0.02966	0.00424	0.0	0.00847	0.00424	0.00847	0.00847	0.13983	0.03814	0.02119	0.00847	0.03814	0.0	0.02119	0.03814	
Target_352	Fusibacterium ulcerans ZTP riboswitch	0.0411	0.0137	0.0411	0.0	0.0	0.0	0.0274	0.20548	0.05479	0.0137	0.0137	0.0	0.05479	0.0	0.0137	0.09589	0.05479	0.0411	0.0137	0.0	0.0137	0.0	0.0137	0.06849	0.0411	0.0137	0.0	0.0	0.0137	0.0	0.0274	0.12329	
Target_405	B.subtilis cysH	0.10494	0.03086	0.01852	0.02469	0.01852	0.0	0.02469	0.04938	0.11111	0.03086	0.00617	0.00617	0.03704	0.00617	0.00617	0.01852	0.08642	0.03086	0.02469	0.00617	0.03704	0.0	0.00617	0.01852	0.12346	0.03086	0.01852	0.01852	0.03086	0.0	0.03704	0.03704	
Target_406	B.anthracis cysH	0.10127	0.01899	0.03165	0.01899	0.01899	0.0	0.03797	0.12025	0.11392	0.01899	0.03165	0.0	0.02532	0.0	0.01899	0.03165	0.08861	0.02532	0.0	0.0	0.02532	0.0	0.0	0.02532	0.11392	0.02532	0.0	0.00633	0.01899	0.0	0.0	0.08228	
Target_412	Tetracycline riboswitch A08G mutant	0.05797	0.0	0.04348	0.0	0.02899	0.0	0.04348	0.11594	0.11594	0.04348	0.01449	0.0	0.02899	0.0	0.01449	0.02899	0.11594	0.02899	0.02899	0.0	0.02899	0.0	0.02899	0.05797	0.08696	0.01449	0.0	0.0	0.0	0.0	0.0	0.07246	
Target_413	Tetracycline riboswitch A09G mutant	0.05797	0.0	0.04348	0.0	0.02899	0.0	0.02899	0.13043	0.13043	0.04348	0.0	0.0	0.01449	0.0	0.01449	0.04348	0.13043	0.01449	0.02899	0.0	0.02899	0.0	0.02899	0.05797	0.08696	0.01449	0.0	0.0	0.0	0.0	0.0	0.07246	
Target_414	Tetracycline riboswitch A13U mutant	0.05797	0.01449	0.02899	0.0	0.02899	0.0	0.01449	0.14493	0.14493	0.02899	0.0	0.01449	0.01449	0.0	0.0	0.02899	0.14493	0.01449	0.02899	0.0	0.01449	0.0	0.02899	0.05797	0.08696	0.01449	0.0	0.0	0.01449	0.0	0.01449	0.05797	
Target_415	Tetracycline riboswitch A50U mutant	0.05797	0.0	0.04348	0.0	0.02899	0.0	0.02899	0.13043	0.13043	0.04348	0.0	0.0	0.01449	0.0	0.01449	0.02899	0.13043	0.01449	0.02899	0.0	0.02899	0.0	0.02899	0.05797	0.08696	0.01449	0.0	0.0	0.0	0.0	0.0	0.08696	
Target_416	Tetracycline riboswitch G51U mutant	0.05797	0.0	0.04348	0.0	0.02899	0.0	0.02899	0.14493	0.13043	0.04348	0.0	0.0	0.01449	0.0	0.01449	0.01449	0.13043	0.01449	0.02899	0.0	0.02899	0.0	0.02899	0.05797	0.08696	0.01449	0.0	0.0	0.0	0.0	0.0	0.08696	
Target_417	Tetracycline riboswitch U54G mutant	0.05797	0.0	0.04348	0.0	0.02899	0.0	0.02899	0.14493	0.13043	0.04348	0.0	0.0	0.01449	0.0	0.01449	0.04348	0.13043	0.01449	0.02899	0.0	0.02899	0.0	0.02899	0.05797	0.08696	0.01449	0.0	0.0	0.0	0.0	0.0	0.05797	
Target_418	Tetracycline riboswitch A55G mutant	0.05797	0.0	0.04348	0.0	0.02899	0.0	0.02899	0.13043	0.13043	0.04348	0.0	0.0	0.01449	0.0	0.01449	0.04348	0.13043	0.01449	0.02899	0.0	0.02899	0.0	0.02899	0.05797	0.08696	0.01449	0.0	0.0	0.0	0.0	0.0	0.07246	
Target_411	Tetracycline riboswitch	0.05797	0.0	0.04348	0.0	0.02899	0.0	0.02899	0.14493	0.13043	0.04348	0.0	0.0	0.01449	0.0	0.01449	0.02899	0.13043	0.01449	0.02899	0.0	0.02899	0.0	0.02899	0.05797	0.08696	0.01449	0.0	0.0	0.0	0.0	0.0	0.07246	
