Target_RNA_ID	Target_RNA_name	AA	DNC_AG	DNC_AC	DNC_AU	DNC_GA	DNC_GG	DNC_GC	DNC_GU	DNC_CA	DNC_CG	DNC_CC	DNC_CU	DNC_UA	DNC_UG	DNC_UC	DNC_UU	DNC_Feat_17	DNC_Feat_18	DNC_Feat_19	DNC_Feat_20	DNC_Feat_21	DNC_Feat_22	DNC_Feat_23	DNC_Feat_24	
Target_58	RNA aptamer_3	0.00088	0.00221	0.00088	0.0	0.00221	0.00353	0.00309	0.00132	0.00044	0.00265	0.00044	0.00309	0.00044	0.00132	0.00265	0.00265	0.12509	0.12737	0.11603	0.11787	0.13019	0.1364	0.09533	0.12392	
Target_59	RNA aptamer_4	0.00047	0.00234	0.00093	0.0	0.00234	0.00327	0.0028	0.00187	0.0	0.0028	0.00047	0.0028	0.00093	0.0014	0.00234	0.0028	0.12361	0.12779	0.11308	0.12245	0.1184	0.12977	0.10178	0.13556	
Target_113	T-box RNA	0.00103	0.00103	0.00103	0.0	0.00206	0.00413	0.00309	0.00206	0.0	0.00413	0.00309	0.00206	0.0	0.00103	0.00309	0.00103	0.1469	0.12206	0.10401	0.1441	0.10059	0.14337	0.11266	0.09743	
Target_114	T-box C11U	0.00099	0.00099	0.0	0.00099	0.00199	0.00398	0.00298	0.00199	0.0	0.00398	0.00199	0.00199	0.0	0.00099	0.00398	0.00099	0.13915	0.1244	0.11656	0.13773	0.10772	0.13988	0.11183	0.09491	
Target_132	fIIRE	0.0023	0.00115	0.0023	0.0	0.0023	0.0023	0.0023	0.00115	0.0023	0.00115	0.00115	0.00345	0.0	0.00345	0.0023	0.00345	0.1273	0.16487	0.0993	0.09033	0.13282	0.12657	0.11703	0.11072	
Target_133	TfR_IRE	0.00126	0.00251	0.00251	0.00251	0.00126	0.00251	0.00126	0.00503	0.00251	0.00126	0.00126	0.00251	0.00251	0.00377	0.00251	0.00251	0.10785	0.1167	0.10245	0.11494	0.12023	0.11759	0.1309	0.15164	
Target_134	TfR_IRE_C24U	0.00126	0.00251	0.00251	0.00251	0.00126	0.00251	0.00126	0.00503	0.00251	0.00126	0.00126	0.00251	0.00251	0.00377	0.00251	0.00251	0.10785	0.1167	0.10245	0.11494	0.12023	0.11759	0.1309	0.15164	
Target_135	Yohimbine_XII_RNA	0.00126	0.0	0.00126	0.00126	0.00126	0.00756	0.00252	0.00126	0.0	0.00252	0.00882	0.0	0.00126	0.00126	0.0	0.00126	0.09958	0.10114	0.13819	0.13731	0.13535	0.13843	0.10743	0.11109	
Target_136	RNA_XIX	0.0	0.0	0.0	0.0	0.0	0.0	0.0084	0.0042	0.0	0.0105	0.0	0.0	0.0	0.0042	0.0	0.0	0.21782	0.02597	0.19423	0.06147	0.19286	0.04081	0.23591	0.00363	
Target_137	RNA_XX	0.0	0.00362	0.0	0.0	0.0	0.0	0.00724	0.00362	0.00181	0.00724	0.0	0.0	0.00181	0.00181	0.0	0.0	0.17943	0.06884	0.1114	0.15177	0.06082	0.17923	0.09962	0.12173	
Target_138	RNA_XXI	0.0	0.00496	0.0	0.0	0.0	0.0	0.00662	0.00331	0.00165	0.00662	0.0	0.0	0.00331	0.0	0.0	0.0	0.16875	0.07728	0.08759	0.15127	0.10216	0.11184	0.17763	0.09701	
Target_139	RNA_XXII	0.0	0.0054	0.0	0.0	0.0	0.0	0.0072	0.0036	0.0036	0.0072	0.0	0.0	0.0018	0.0	0.0018	0.0	0.17896	0.08168	0.10719	0.13051	0.08973	0.11964	0.08931	0.17236	
Target_141	GNRA tetraloop construct XVIII	0.00299	0.00149	0.0	0.00149	0.00149	0.00448	0.00299	0.0	0.0	0.00149	0.00149	0.00149	0.00149	0.0	0.0	0.00149	0.09911	0.13127	0.17756	0.13706	0.11834	0.10539	0.10536	0.10352	
Target_142	Spiegelmer L-A42d RNA (58 mer)	0.00158	0.00158	0.00158	0.0021	0.00105	0.00105	0.00158	0.00263	0.00105	0.00368	0.00158	0.00105	0.00316	0.00053	0.0021	0.00368	0.11674	0.11218	0.13607	0.14285	0.1315	0.10855	0.10973	0.11239	
Target_60	T alpha aptamer	0.00168	0.00252	0.00168	0.00084	0.00168	0.00252	0.00336	0.00084	0.00252	0.00084	0.0042	0.00084	0.00084	0.00168	0.0	0.00084	0.11273	0.14358	0.13014	0.14706	0.13436	0.12491	0.07586	0.1045	
Target_61	B alpha aptamer	0.00461	0.00345	0.00345	0.0	0.00345	0.00345	0.0	0.00345	0.0023	0.0023	0.0023	0.0023	0.00115	0.0	0.00345	0.00115	0.09067	0.08704	0.09528	0.12822	0.12998	0.12403	0.17206	0.13587	
Target_144	RNA B	0.0	0.00132	0.0	0.0	0.0	0.00263	0.00658	0.0	0.00132	0.00263	0.00526	0.00395	0.0	0.00395	0.0	0.0	0.12924	0.13654	0.15674	0.09005	0.08779	0.10297	0.16473	0.10431	
Target_145	RNA C	0.0	0.00126	0.0	0.0	0.0	0.00126	0.00755	0.0	0.00126	0.00503	0.00252	0.00252	0.0	0.00252	0.0	0.0	0.16851	0.10477	0.12068	0.0967	0.11196	0.13428	0.08352	0.15569	
Target_147	Antiterminator model RNA AM1A	0.00103	0.00103	0.00103	0.0	0.00206	0.00413	0.00309	0.00206	0.0	0.00413	0.00309	0.00206	0.0	0.00103	0.00309	0.00103	0.1469	0.12206	0.10401	0.1441	0.10059	0.14337	0.11266	0.09743	
Target_149	Double stranded RNA seq	0.00138	0.00275	0.00138	0.00413	0.00275	0.00275	0.0	0.00138	0.00138	0.0	0.00275	0.00275	0.00275	0.00138	0.00275	0.00138	0.09167	0.10536	0.08107	0.13214	0.12607	0.13099	0.1673	0.13375	
Target_150	single stranded RNA seq	0.0	0.0	0.00389	0.00389	0.0	0.0	0.0	0.0	0.00389	0.0	0.00778	0.00778	0.00389	0.0	0.00778	0.00389	0.09923	0.13333	0.08343	0.12425	0.10956	0.11578	0.16975	0.12187	
Target_151	RNA seq A	0.0	0.0	0.0	0.0	0.0	0.00143	0.00713	0.0	0.0	0.00285	0.00143	0.00571	0.0	0.00571	0.0	0.0	0.17882	0.14848	0.01032	0.17763	0.14109	0.01313	0.1775	0.12877	
Target_152	RNA seq A (20 x t-RNA)	0.0	0.0	0.0	0.0	0.0	0.00143	0.00713	0.0	0.0	0.00285	0.00143	0.00571	0.0	0.00571	0.0	0.0	0.17882	0.14848	0.01032	0.17763	0.14109	0.01313	0.1775	0.12877	
Target_153	RNA seq B	0.0	0.0	0.0	0.0	0.0	0.00642	0.00642	0.0	0.0	0.0	0.0	0.00642	0.0	0.00642	0.0	0.0	0.14362	0.16583	0.02726	0.14825	0.16162	0.0331	0.13933	0.1553	
Target_154	RNA seq C	0.00164	0.0	0.00164	0.0	0.0	0.00492	0.00492	0.0	0.00164	0.00328	0.00328	0.00328	0.0	0.00328	0.0	0.0	0.14224	0.14364	0.10235	0.12177	0.11311	0.12329	0.11914	0.1066	
Target_155	RNA seq D	0.0	0.0	0.0	0.0	0.0	0.0	0.00921	0.0	0.0	0.00737	0.0	0.00369	0.0	0.00369	0.0	0.0	0.21302	0.10027	0.08628	0.18668	0.07277	0.12326	0.19057	0.00319	
Target_156	RNA seq E	0.00176	0.00352	0.00176	0.0	0.0	0.00352	0.00527	0.0	0.00527	0.0	0.00176	0.00352	0.0	0.00352	0.0	0.0	0.13916	0.164	0.09709	0.11279	0.12719	0.11005	0.08307	0.13677	
Target_157	RNA seq F	0.00307	0.00307	0.00153	0.0	0.00153	0.00614	0.00307	0.0	0.00307	0.0	0.00614	0.00153	0.0	0.0	0.00153	0.00153	0.09835	0.17423	0.18923	0.12361	0.07533	0.09592	0.10447	0.10663	
Target_158	RpoH σ32mRNA factor	0.00172	0.00144	0.00101	0.00187	0.00172	0.00187	0.00316	0.00129	0.00129	0.00187	0.00086	0.00144	0.00115	0.00287	0.00057	0.0023	0.11761	0.12429	0.12389	0.12144	0.12371	0.113	0.13261	0.11703	
Target_2	RNA duplex	0.2892	0.0	0.0	0.00876	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2892	0.03682	0.04078	0.04487	0.04908	0.05343	0.05793	0.06257	0.06737	
Target_196	A10-RNA-WT QGRS in ADAM10 mRNA	0.0	0.00399	0.00133	0.0	0.00266	0.01997	0.00133	0.00266	0.0	0.00266	0.0	0.0	0.00266	0.00133	0.0	0.0	0.1072	0.13548	0.13477	0.09713	0.12624	0.11395	0.1103	0.13632	
Target_197	A10-RNA-WT QGRS in ADAM10 mRNA Mutant	0.0	0.00399	0.00133	0.0	0.00266	0.01997	0.00133	0.00266	0.0	0.00266	0.0	0.0	0.00266	0.00133	0.0	0.0	0.1072	0.13548	0.13477	0.09713	0.12624	0.11395	0.1103	0.13632	
Target_198	DDPAC MAPT A Bulge	0.0	0.00347	0.00347	0.00174	0.00174	0.00174	0.00174	0.00695	0.00347	0.00174	0.00174	0.00174	0.00347	0.00347	0.00347	0.00174	0.14368	0.11703	0.12764	0.08739	0.1348	0.12237	0.12053	0.10488	
Target_199	DDPAC + I17T Mutant	0.0	0.00347	0.00347	0.00174	0.00174	0.00174	0.00174	0.00695	0.00347	0.00174	0.00174	0.00174	0.00347	0.00347	0.00347	0.00174	0.14368	0.11703	0.12764	0.08739	0.1348	0.12237	0.12053	0.10488	
Target_200	MAPT A WT	0.0	0.00347	0.00347	0.00174	0.00174	0.00174	0.00174	0.00695	0.00347	0.00174	0.00174	0.00174	0.00347	0.00347	0.00347	0.00174	0.14368	0.11703	0.12764	0.08739	0.1348	0.12237	0.12053	0.10488	
Target_207	Fully Paired RNA	0.00428	0.00267	0.00053	0.0016	0.00267	0.00321	0.00107	0.00214	0.00053	0.00267	0.00053	0.00053	0.0016	0.00053	0.00214	0.00214	0.10285	0.10757	0.10223	0.12769	0.12669	0.11981	0.13432	0.14998	
Target_208	1 X 1 UU Hairpin	0.0025	0.0	0.00125	0.0	0.00125	0.00125	0.00501	0.0	0.0	0.00501	0.0	0.0025	0.0	0.0025	0.0	0.0	0.1461	0.13561	0.07529	0.1737	0.09227	0.09385	0.18739	0.07451	
Target_209	AU stem	0.00255	0.00127	0.00127	0.0	0.00127	0.00127	0.00509	0.0	0.00127	0.00509	0.0	0.00127	0.0	0.00127	0.0	0.0	0.14387	0.13277	0.07973	0.17128	0.08307	0.09954	0.19488	0.07323	
Target_211	GC Stem Loop	0.00197	0.00098	0.0	0.0	0.00098	0.0	0.00786	0.0	0.0	0.00688	0.0	0.0	0.0	0.0	0.0	0.0	0.18734	0.04363	0.19587	0.0595	0.19079	0.06865	0.18684	0.04872	
Target_212	AT Hairpin DNA	0.00167	0.0	0.0	0.00167	0.00167	0.0	0.00334	0.00084	0.0	0.00669	0.0	0.0	0.0	0.0	0.00251	0.00418	0.15225	0.07617	0.19313	0.13624	0.18986	0.06891	0.14754	0.01333	
Target_223	G_U/CUA Bulge in miR-18a	0.00225	0.003	0.00075	0.00225	0.00375	0.0045	0.00075	0.0015	0.00075	0.0015	0.00075	0.00075	0.0015	0.0015	0.0015	0.0015	0.11044	0.12641	0.11867	0.13383	0.12849	0.09824	0.11256	0.14285	
Target_224	GAU/CUA Stem Mutant	0.0022	0.00367	0.00073	0.0022	0.00367	0.0044	0.00073	0.00147	0.00073	0.00147	0.00073	0.00073	0.0022	0.00073	0.00147	0.00147	0.11051	0.11984	0.11882	0.12739	0.1239	0.10907	0.11719	0.1447	
Target_225	GAU/A_C Bulge in miR-18a	0.00226	0.00377	0.00151	0.00151	0.00377	0.00452	0.00075	0.00151	0.00075	0.00151	0.00075	0.00075	0.00226	0.00075	0.00075	0.00151	0.12241	0.12017	0.11869	0.11984	0.10081	0.09092	0.1394	0.15911	
Target_226	GGU/A_C Bulge Mutant	0.00238	0.00396	0.00158	0.00079	0.00317	0.00554	0.00079	0.00238	0.00079	0.00158	0.00079	0.00079	0.00238	0.00079	0.00079	0.00158	0.11896	0.12102	0.12344	0.11496	0.11212	0.09104	0.13744	0.15093	
Target_232	G4C2 repeat G-quadruplex RNA	0.0	0.0	0.0	0.0	0.0	0.02285	0.00762	0.0	0.0	0.00741	0.00762	0.0	0.0	0.0	0.0	0.0	0.11745	0.15663	0.13109	0.15746	0.11789	0.0	0.1174	0.15659	
Target_235	5′CAG/3′GAC x 2 repeat RNA	0.00271	0.00406	0.00135	0.00203	0.00338	0.00338	0.00068	0.00203	0.00203	0.00135	0.00068	0.0	0.00203	0.00068	0.00135	0.00203	0.11514	0.12111	0.12259	0.11812	0.12566	0.11047	0.1113	0.14583	
Target_236	5′CAG/3′GAC x 3 repeat RNA	0.00271	0.00406	0.00135	0.00203	0.00338	0.00338	0.00068	0.00203	0.00203	0.00135	0.00068	0.0	0.00203	0.00068	0.00135	0.00203	0.11514	0.12111	0.12259	0.11812	0.12566	0.11047	0.1113	0.14583	
Target_237	5′CAG/3′GAC x 4 repeat RNA	0.00271	0.00406	0.00135	0.00203	0.00338	0.00338	0.00068	0.00203	0.00203	0.00135	0.00068	0.0	0.00203	0.00068	0.00135	0.00203	0.11514	0.12111	0.12259	0.11812	0.12566	0.11047	0.1113	0.14583	
Target_238	5′CAG/3′GAC x 5 repeat RNA	0.00271	0.00406	0.00135	0.00203	0.00338	0.00338	0.00068	0.00203	0.00203	0.00135	0.00068	0.0	0.00203	0.00068	0.00135	0.00203	0.11514	0.12111	0.12259	0.11812	0.12566	0.11047	0.1113	0.14583	
Target_234	5'CAG/3'GUC x 6 repeat RNA	0.00284	0.00425	0.00071	0.00213	0.00284	0.00354	0.00071	0.00284	0.00213	0.00142	0.00071	0.0	0.00213	0.00071	0.00213	0.00213	0.11493	0.12302	0.12195	0.11326	0.12009	0.11126	0.12427	0.14003	
Target_239	5′CAG/3′GAC x 33 repeat RNA	0.00271	0.00406	0.00135	0.00203	0.00338	0.00338	0.00068	0.00203	0.00203	0.00135	0.00068	0.0	0.00203	0.00068	0.00135	0.00203	0.11514	0.12111	0.12259	0.11812	0.12566	0.11047	0.1113	0.14583	
Target_240	5′CAG/3′GAC internal loop	0.00271	0.00406	0.00135	0.00203	0.00338	0.00338	0.00068	0.00203	0.00203	0.00135	0.00068	0.0	0.00203	0.00068	0.00135	0.00203	0.11514	0.12111	0.12259	0.11812	0.12566	0.11047	0.1113	0.14583	
Target_241	5'CAG/3'GUC internal loop	0.00284	0.00425	0.00071	0.00213	0.00284	0.00354	0.00071	0.00284	0.00213	0.00142	0.00071	0.0	0.00213	0.00071	0.00213	0.00213	0.11493	0.12302	0.12195	0.11326	0.12009	0.11126	0.12427	0.14003	
Target_242	KRAS RNA G-quadruplex utr-1	0.0	0.00196	0.0	0.0	0.00196	0.00784	0.00784	0.0	0.00196	0.00588	0.0	0.0	0.0	0.0	0.0	0.0	0.16334	0.16342	0.00938	0.16358	0.16356	0.00774	0.15177	0.14977	
Target_243	KRAS RNA G-quadruplex utr-z	0.0	0.00149	0.0	0.0	0.0	0.00897	0.00747	0.00149	0.00149	0.00598	0.0	0.0	0.0	0.00149	0.0	0.0	0.15271	0.15723	0.0427	0.15061	0.14092	0.05488	0.14078	0.13176	
Target_244	KRAS RNA G-quadruplex utr-4	0.0	0.00414	0.0	0.0	0.0	0.00552	0.0069	0.00138	0.00414	0.00414	0.0	0.0	0.0	0.00138	0.0	0.0	0.15208	0.14551	0.03472	0.16925	0.13313	0.05396	0.16444	0.11933	
Target_245	RNA Hairpin	0.0	0.00174	0.0	0.0	0.0	0.00522	0.00696	0.00174	0.00174	0.00696	0.00348	0.0	0.0	0.00174	0.0	0.0	0.16788	0.15133	0.04042	0.17994	0.11418	0.07963	0.17944	0.0576	
Target_248	Oligo-4, an AGGAAG-containing RNA 15-mer	0.0039	0.00584	0.0	0.0	0.0039	0.0039	0.00195	0.00195	0.0	0.0	0.0	0.00195	0.0	0.00195	0.00195	0.0	0.16509	0.16254	0.087	0.07343	0.17851	0.11025	0.07352	0.12238	
Target_249	Oligo-7, an AAGGAG-containing RNA 15-mer	0.0069	0.0069	0.0	0.0023	0.0023	0.0023	0.0	0.0046	0.0	0.0	0.0	0.0	0.0046	0.0	0.0	0.0023	0.08162	0.11431	0.12501	0.14944	0.19288	0.15419	0.09298	0.05737	
Target_250	Oligo-1, a pyrimidine-rich RNA 15-mer	0.0	0.0	0.0	0.00268	0.0	0.0	0.0	0.0	0.0	0.0	0.00535	0.00535	0.00268	0.0	0.00535	0.01606	0.0893	0.13057	0.13538	0.08039	0.09305	0.13208	0.16998	0.13178	
Target_251	Oligo-2, an RNA 15-mer	0.00732	0.00244	0.00244	0.00244	0.00244	0.00244	0.0	0.00244	0.00244	0.0	0.0	0.0	0.00244	0.0	0.0	0.00732	0.07376	0.12511	0.19934	0.20737	0.19432	0.09638	0.04188	0.0277	
Target_252	Oligo-3, a purine-rich RNA 15-mer	0.02254	0.00564	0.0	0.00282	0.00282	0.0	0.0	0.0	0.00282	0.0	0.0	0.0	0.0	0.0	0.00282	0.0	0.11257	0.14918	0.16294	0.17062	0.13468	0.03623	0.04672	0.1476	
Target_253	Oligo-5, an RNA 15-mer	0.0	0.0	0.00257	0.00257	0.0	0.0	0.00257	0.0	0.00515	0.0	0.00257	0.00515	0.00257	0.00257	0.00515	0.00515	0.13696	0.13127	0.13232	0.07945	0.09292	0.12609	0.15676	0.10821	
Target_254	Oligo-6, an RNA 15-mer	0.00633	0.00422	0.0	0.00211	0.00211	0.00211	0.0	0.0	0.0	0.0	0.00211	0.00211	0.00422	0.0	0.0	0.00422	0.05578	0.10069	0.10769	0.11335	0.11966	0.14242	0.1674	0.16347	
Target_256	Telomeric DNA G-quadruplex (HTG22)	0.0	0.00513	0.0	0.0	0.0	0.02054	0.0	0.01027	0.0	0.0	0.0	0.0	0.00513	0.0	0.0	0.00513	0.09548	0.21838	0.30666	0.24467	0.08861	0.0	0.0	0.0	
Target_255	TERRA G-quadruplex (TERRA22)	0.0	0.00654	0.0	0.0	0.0	0.01308	0.0	0.0049	0.0	0.0	0.0	0.0	0.0049	0.0	0.0	0.0049	0.0887	0.16907	0.21338	0.15966	0.08164	0.0	0.08849	0.16473	
Target_258	BCL2 RNA G-quadruplex	0.0	0.00329	0.0	0.0	0.00164	0.01971	0.00329	0.00329	0.0	0.00164	0.00164	0.00164	0.0	0.00493	0.0	0.0	0.12181	0.12912	0.14379	0.13581	0.12886	0.1036	0.07202	0.12392	
Target_259	NRAS RNA G-quadruplex	0.0	0.00204	0.0	0.0	0.00204	0.01839	0.00204	0.00409	0.0	0.00204	0.0	0.00204	0.0	0.00613	0.00204	0.0	0.11696	0.1122	0.12284	0.11543	0.07781	0.11398	0.16091	0.13898	
Target_260	Pu22 DNA G-quadruplex	0.00202	0.00405	0.0	0.0	0.00202	0.01618	0.0	0.00809	0.0	0.0	0.0	0.0	0.00405	0.00607	0.0	0.0	0.12444	0.15053	0.13457	0.05644	0.0906	0.13646	0.15971	0.10476	
Target_261	TRF2:Telomeric duplex DNA (hTELO-dup)	0.0	0.00513	0.0	0.0	0.0	0.02054	0.0	0.01027	0.0	0.0	0.0	0.0	0.00513	0.0	0.0	0.00513	0.09548	0.21838	0.30666	0.24467	0.08861	0.0	0.0	0.0	
Target_262	TRF2:TERRA G-quadruplex (TERRA22):Telomeric duplex DNA (hTELO-dup)	0.0	0.00513	0.0	0.0	0.0	0.02054	0.0	0.01027	0.0	0.0	0.0	0.0	0.00513	0.0	0.0	0.00513	0.09548	0.21838	0.30666	0.24467	0.08861	0.0	0.0	0.0	
Target_284	SMN2 pre-mRNA GA-rich sequence	0.00645	0.0043	0.00072	0.00143	0.00215	0.00143	0.00143	0.00215	0.00143	0.0	0.00072	0.00215	0.00215	0.00143	0.00215	0.00215	0.1005	0.12872	0.12297	0.11231	0.12068	0.13155	0.122	0.12901	
Target_285	Seq20	0.0023	0.0023	0.00115	0.0	0.00345	0.0023	0.0	0.00115	0.00115	0.00115	0.0023	0.0023	0.0	0.00115	0.00345	0.0046	0.13169	0.16631	0.12428	0.06892	0.13566	0.14441	0.09554	0.10447	
Target_286	Seq21	0.00208	0.00312	0.00104	0.0	0.00416	0.00312	0.00416	0.00104	0.0	0.00416	0.00104	0.00104	0.0	0.00104	0.00104	0.0	0.14223	0.15668	0.07967	0.08167	0.14901	0.11685	0.09988	0.14698	
