Target_RNA_ID	Target_RNA_name	A(((	A((.	A(..	A(.(	A.((	A.(.	A..(	A...	G(((	G((.	G(..	G(.(	G.((	G.(.	G..(	G...	C(((	C((.	C(..	C(.(	C.((	C.(.	C..(	C...	U(((	U((.	U(..	U(.(	U.((	U.(.	U..(	U...	
Target_125	RNA XV	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.16	0.0	0.04	0.0	0.0	0.0	0.04	0.04	
Target_126	RNA XVII	0.10714	0.03571	0.0	0.0	0.0	0.0	0.0	0.0	0.21429	0.03571	0.03571	0.0	0.0	0.0	0.0	0.0	0.21429	0.0	0.0	0.0	0.03571	0.0	0.0	0.0	0.10714	0.0	0.03571	0.0	0.03571	0.0	0.07143	0.07143	
Target_112	T box antiterminator RNA	0.03704	0.0	0.0	0.0	0.0	0.0	0.0	0.07407	0.14815	0.03704	0.0	0.0	0.07407	0.0	0.03704	0.07407	0.18519	0.03704	0.0	0.0	0.0	0.0	0.03704	0.07407	0.07407	0.0	0.07407	0.0	0.0	0.0	0.0	0.03704	
Target_127	SLI of Rep A	0.03125	0.03125	0.0	0.0	0.0	0.0	0.0	0.25	0.03125	0.0	0.03125	0.0	0.03125	0.03125	0.03125	0.0625	0.03125	0.03125	0.03125	0.03125	0.0	0.03125	0.0	0.0625	0.03125	0.0	0.0	0.03125	0.03125	0.0	0.03125	0.125	
Target_63	Thymidylate synthase m-RNA	0.03226	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16129	0.06452	0.03226	0.0	0.06452	0.0	0.0	0.0	0.22581	0.0	0.0	0.03226	0.06452	0.0	0.03226	0.16129	0.03226	0.03226	0.0	0.03226	0.0	0.0	0.03226	0.0	
Target_64	Bcr-Abl m-RNA	0.05128	0.0	0.10256	0.0	0.0	0.0	0.0	0.15385	0.07692	0.05128	0.0	0.0	0.02564	0.0	0.05128	0.05128	0.05128	0.05128	0.0	0.0	0.05128	0.0	0.02564	0.10256	0.07692	0.0	0.0	0.0	0.0	0.0	0.0	0.07692	
Target_65	PAX3-FKHR m-RNA	0.05263	0.0	0.05263	0.0	0.0	0.0	0.05263	0.15789	0.07895	0.0	0.0	0.0	0.07895	0.0	0.0	0.07895	0.02632	0.07895	0.05263	0.0	0.0	0.0	0.02632	0.05263	0.10526	0.02632	0.0	0.0	0.0	0.0	0.0	0.07895	
Target_56	RNA aptamer_1	0.04918	0.01639	0.01639	0.01639	0.01639	0.0	0.03279	0.01639	0.13115	0.03279	0.0	0.03279	0.08197	0.0	0.01639	0.04918	0.09836	0.01639	0.03279	0.01639	0.01639	0.03279	0.0	0.0	0.13115	0.04918	0.03279	0.01639	0.0	0.0	0.01639	0.03279	
Target_57	RNA aptamer_2	0.03279	0.01639	0.03279	0.01639	0.03279	0.0	0.01639	0.01639	0.14754	0.03279	0.0	0.03279	0.06557	0.0	0.03279	0.03279	0.09836	0.01639	0.01639	0.01639	0.01639	0.03279	0.0	0.01639	0.09836	0.06557	0.01639	0.04918	0.01639	0.0	0.0	0.03279	
Target_58	RNA aptamer_3	0.01613	0.0	0.01613	0.01613	0.04839	0.01613	0.03226	0.0	0.1129	0.04839	0.01613	0.03226	0.06452	0.0	0.04839	0.03226	0.1129	0.03226	0.03226	0.01613	0.03226	0.0	0.0	0.01613	0.01613	0.08065	0.03226	0.01613	0.01613	0.01613	0.03226	0.04839	
Target_59	RNA aptamer_4	0.01724	0.0	0.01724	0.01724	0.05172	0.01724	0.01724	0.0	0.12069	0.05172	0.0	0.05172	0.06897	0.0	0.03448	0.03448	0.13793	0.03448	0.0	0.01724	0.01724	0.0	0.0	0.01724	0.03448	0.06897	0.03448	0.03448	0.01724	0.01724	0.01724	0.05172	
Target_113	T-box RNA	0.03704	0.0	0.0	0.0	0.0	0.0	0.0	0.07407	0.14815	0.03704	0.0	0.0	0.07407	0.0	0.03704	0.07407	0.18519	0.03704	0.0	0.0	0.0	0.0	0.03704	0.07407	0.07407	0.0	0.07407	0.0	0.0	0.0	0.0	0.03704	
Target_114	T-box C11U	0.03704	0.0	0.0	0.0	0.0	0.0	0.0	0.07407	0.14815	0.03704	0.0	0.0	0.07407	0.0	0.03704	0.07407	0.18519	0.03704	0.0	0.0	0.0	0.0	0.03704	0.03704	0.07407	0.0	0.07407	0.0	0.0	0.0	0.0	0.07407	
Target_132	fIIRE	0.07692	0.03846	0.03846	0.0	0.0	0.0	0.0	0.03846	0.11538	0.07692	0.0	0.0	0.0	0.0	0.0	0.07692	0.07692	0.0	0.03846	0.03846	0.03846	0.0	0.07692	0.0	0.11538	0.0	0.0	0.0	0.07692	0.0	0.0	0.07692	
Target_133	TfR_IRE	0.17241	0.0	0.0	0.0	0.0	0.0	0.0	0.03448	0.13793	0.03448	0.0	0.0	0.03448	0.0	0.0	0.06897	0.06897	0.03448	0.03448	0.03448	0.03448	0.0	0.0	0.0	0.24138	0.0	0.0	0.0	0.0	0.0	0.03448	0.03448	
Target_134	TfR_IRE_C24U	0.17241	0.0	0.0	0.0	0.0	0.0	0.0	0.03448	0.13793	0.03448	0.0	0.0	0.03448	0.0	0.0	0.06897	0.06897	0.03448	0.03448	0.03448	0.03448	0.0	0.0	0.0	0.24138	0.0	0.0	0.0	0.0	0.0	0.03448	0.03448	
Target_135	Yohimbine_XII_RNA	0.0	0.0	0.04167	0.0	0.0	0.0	0.0	0.08333	0.125	0.04167	0.0	0.0	0.08333	0.0	0.04167	0.08333	0.20833	0.04167	0.04167	0.0	0.0	0.0	0.0	0.08333	0.0	0.04167	0.0	0.0	0.0	0.0	0.04167	0.04167	
Target_136	RNA_XIX	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.08333	0.0	0.08333	0.0	0.0	0.08333	0.25	0.08333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08333	0.08333	
Target_137	RNA_XX	0.0	0.0	0.07143	0.0	0.0	0.0	0.07143	0.0	0.21429	0.0	0.0	0.0	0.07143	0.0	0.0	0.14286	0.21429	0.07143	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14286	
Target_138	RNA_XXI	0.0	0.0	0.06667	0.0	0.0	0.0	0.06667	0.06667	0.2	0.0	0.0	0.0	0.06667	0.0	0.0	0.13333	0.2	0.06667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13333	
Target_139	RNA_XXII	0.0	0.0	0.0625	0.0	0.0	0.0	0.0625	0.0625	0.1875	0.0	0.0	0.0	0.0625	0.0	0.0	0.125	0.1875	0.0625	0.0	0.0	0.0	0.0	0.0	0.0625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.125	
Target_141	GNRA tetraloop construct XVIII	0.0	0.0	0.07143	0.0	0.0	0.0	0.07143	0.14286	0.21429	0.0	0.07143	0.0	0.07143	0.0	0.0	0.0	0.14286	0.07143	0.0	0.0	0.0	0.0	0.0	0.0	0.07143	0.07143	0.0	0.0	0.0	0.0	0.0	0.0	
Target_142	Spiegelmer L-A42d RNA (58 mer)	0.08929	0.01786	0.01786	0.0	0.03571	0.0	0.01786	0.05357	0.125	0.03571	0.0	0.0	0.03571	0.0	0.0	0.01786	0.17857	0.01786	0.01786	0.0	0.0	0.0	0.0	0.01786	0.10714	0.01786	0.05357	0.0	0.01786	0.0	0.07143	0.05357	
Target_60	T alpha aptamer	0.06452	0.0	0.03226	0.0	0.0	0.0	0.06452	0.09677	0.12903	0.06452	0.03226	0.0	0.03226	0.0	0.03226	0.0	0.09677	0.06452	0.06452	0.0	0.06452	0.0	0.0	0.03226	0.03226	0.0	0.0	0.0	0.03226	0.0	0.03226	0.03226	
Target_61	B alpha aptamer	0.06452	0.0	0.03226	0.0	0.03226	0.0	0.03226	0.16129	0.09677	0.0	0.0	0.0	0.03226	0.0	0.0	0.12903	0.09677	0.03226	0.0	0.0	0.0	0.0	0.03226	0.09677	0.06452	0.0	0.0	0.0	0.0	0.0	0.0	0.09677	
Target_144	RNA B	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05	0.0	0.1	0.0	0.0	0.1	0.15	0.05	0.0	0.05	0.05	0.0	0.05	0.1	0.05	0.0	0.0	0.0	0.0	0.0	0.05	0.05	
Target_145	RNA C	0.05556	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11111	0.0	0.05556	0.0	0.16667	0.0	0.0	0.05556	0.11111	0.16667	0.0	0.05556	0.0	0.0	0.05556	0.05556	0.05556	0.0	0.0	0.05556	0.0	0.0	0.0	0.0	
Target_147	Antiterminator model RNA AM1A	0.03704	0.0	0.0	0.0	0.0	0.0	0.0	0.07407	0.14815	0.03704	0.0	0.0	0.07407	0.0	0.03704	0.07407	0.18519	0.03704	0.0	0.0	0.0	0.0	0.03704	0.07407	0.07407	0.0	0.07407	0.0	0.0	0.0	0.0	0.03704	
Target_149	Double stranded RNA seq	0.13636	0.0	0.0	0.0	0.04545	0.0	0.04545	0.04545	0.22727	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22727	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13636	0.04545	0.04545	0.0	0.0	0.0	0.0	0.04545	
Target_150	single stranded RNA seq	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	
Target_151	RNA seq A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.1875	0.0	0.0	0.0625	0.125	0.1875	0.0	0.0	0.0	0.0	0.0	0.0625	0.0	0.0	0.0625	0.125	0.0	0.0	0.0625	0.0	
Target_152	RNA seq A (20 x t-RNA)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.1875	0.0	0.0	0.0625	0.125	0.1875	0.0	0.0	0.0	0.0	0.0	0.0625	0.0	0.0	0.0625	0.125	0.0	0.0	0.0625	0.0	
Target_153	RNA seq B	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05263	0.0	0.05263	0.0	0.21053	0.0	0.0	0.15789	0.05263	0.15789	0.0	0.0	0.0	0.0	0.0	0.05263	0.0	0.05263	0.05263	0.10526	0.0	0.0	0.05263	0.0	
Target_154	RNA seq C	0.0	0.0	0.0	0.0	0.0	0.0	0.0625	0.0625	0.125	0.0625	0.0625	0.0	0.125	0.0	0.0	0.0	0.125	0.125	0.0	0.0	0.0625	0.0	0.0	0.0625	0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.0	
Target_155	RNA seq D	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.08333	0.0	0.0	0.08333	0.25	0.08333	0.0	0.0	0.0	0.0	0.0	0.08333	0.0	0.0	0.08333	0.0	0.0	0.0	0.08333	0.0	
Target_156	RNA seq E	0.125	0.0	0.0	0.0	0.0	0.0	0.0625	0.0625	0.1875	0.0625	0.0625	0.0	0.0	0.0	0.0	0.0	0.1875	0.0	0.0	0.0	0.0625	0.0	0.0	0.0625	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Target_157	RNA seq F	0.1	0.0	0.05	0.0	0.0	0.0	0.05	0.05	0.25	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.25	0.05	0.0	0.0	0.0	0.0	0.0	0.05	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Target_158	RpoH σ32mRNA factor	0.06557	0.02186	0.04372	0.0	0.01639	0.0	0.02732	0.04918	0.14754	0.00546	0.01093	0.01093	0.05464	0.0	0.01639	0.06011	0.0929	0.04372	0.00546	0.0	0.01093	0.0	0.01093	0.04372	0.10929	0.03279	0.01093	0.02186	0.02186	0.0	0.01639	0.04918	
Target_2	RNA duplex	0.45455	0.01515	0.01515	0.0	0.0	0.0	0.0	0.01515	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.45455	0.0	0.0	0.0	0.01515	0.0	0.01515	0.01515	
Target_196	A10-RNA-WT QGRS in ADAM10 mRNA	0.0	0.0	0.0	0.0	0.0	0.0	0.03571	0.10714	0.0	0.07143	0.07143	0.0	0.0	0.0	0.03571	0.53571	0.0	0.0	0.0	0.0	0.07143	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07143	
Target_197	A10-RNA-WT QGRS in ADAM10 mRNA Mutant	0.0	0.0	0.0	0.0	0.0	0.0	0.03571	0.10714	0.0	0.07143	0.07143	0.0	0.0	0.0	0.03571	0.53571	0.0	0.0	0.0	0.0	0.07143	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07143	
Target_198	DDPAC MAPT A Bulge	0.13043	0.0	0.0	0.04348	0.0	0.0	0.0	0.04348	0.17391	0.04348	0.0	0.0	0.04348	0.0	0.0	0.0	0.08696	0.04348	0.0	0.0	0.0	0.0	0.04348	0.04348	0.21739	0.0	0.04348	0.0	0.04348	0.0	0.0	0.0	
Target_199	DDPAC + I17T Mutant	0.13043	0.0	0.0	0.04348	0.0	0.0	0.0	0.04348	0.17391	0.04348	0.0	0.0	0.04348	0.0	0.0	0.0	0.08696	0.04348	0.0	0.0	0.0	0.0	0.04348	0.04348	0.21739	0.0	0.04348	0.0	0.04348	0.0	0.0	0.0	
Target_200	MAPT A WT	0.13043	0.0	0.0	0.04348	0.0	0.0	0.0	0.04348	0.17391	0.04348	0.0	0.0	0.04348	0.0	0.0	0.0	0.08696	0.04348	0.0	0.0	0.0	0.0	0.04348	0.04348	0.21739	0.0	0.04348	0.0	0.04348	0.0	0.0	0.0	
Target_207	Fully Paired RNA	0.11321	0.01887	0.03774	0.01887	0.0	0.0	0.0566	0.07547	0.09434	0.01887	0.03774	0.01887	0.03774	0.03774	0.0	0.0566	0.03774	0.03774	0.0	0.0	0.01887	0.03774	0.01887	0.0	0.16981	0.0	0.0	0.03774	0.01887	0.0	0.0	0.0	
Target_208	1 X 1 UU Hairpin	0.0	0.0	0.0	0.0	0.0	0.0	0.0625	0.125	0.125	0.0625	0.0625	0.0	0.125	0.0	0.0	0.0	0.125	0.125	0.0	0.0	0.0625	0.0	0.0	0.0	0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.0	
Target_209	AU stem	0.0625	0.0	0.0	0.0	0.0	0.0	0.0625	0.125	0.25	0.0625	0.0625	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0625	0.0	0.0	0.0	0.0625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Target_211	GC Stem Loop	0.0	0.0	0.0	0.0	0.0	0.0	0.05556	0.11111	0.33333	0.0	0.05556	0.0	0.05556	0.0	0.0	0.0	0.33333	0.05556	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Target_212	AT Hairpin DNA	0.15385	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23077	0.03846	0.0	0.0	0.0	0.0	0.0	0.0	0.23077	0.0	0.0	0.0	0.03846	0.0	0.0	0.0	0.15385	0.0	0.03846	0.0	0.0	0.0	0.03846	0.07692	
Target_223	G_U/CUA Bulge in miR-18a	0.08108	0.0	0.02703	0.02703	0.02703	0.0	0.05405	0.08108	0.13514	0.0	0.02703	0.02703	0.05405	0.02703	0.0	0.08108	0.02703	0.08108	0.0	0.0	0.0	0.02703	0.0	0.0	0.18919	0.0	0.0	0.02703	0.0	0.0	0.0	0.0	
Target_224	GAU/CUA Stem Mutant	0.13158	0.0	0.02632	0.02632	0.0	0.0	0.05263	0.07895	0.13158	0.0	0.02632	0.02632	0.05263	0.02632	0.0	0.07895	0.05263	0.05263	0.0	0.0	0.0	0.02632	0.0	0.0	0.21053	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Target_225	GAU/A_C Bulge in miR-18a	0.10811	0.0	0.02703	0.05405	0.0	0.0	0.05405	0.08108	0.10811	0.02703	0.02703	0.02703	0.05405	0.02703	0.0	0.08108	0.05405	0.05405	0.0	0.0	0.0	0.02703	0.0	0.0	0.16216	0.0	0.0	0.0	0.02703	0.0	0.0	0.0	
Target_226	GGU/A_C Bulge Mutant	0.10811	0.0	0.02703	0.02703	0.0	0.0	0.05405	0.08108	0.10811	0.02703	0.02703	0.05405	0.05405	0.02703	0.0	0.08108	0.05405	0.05405	0.0	0.0	0.0	0.02703	0.0	0.0	0.16216	0.0	0.0	0.0	0.02703	0.0	0.0	0.0	
Target_232	G4C2 repeat G-quadruplex RNA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16355	0.0	0.3271	0.16355	0.00467	0.00467	0.00467	0.0	0.15888	0.00467	0.0	0.16355	0.00467	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Target_235	5′CAG/3′GAC x 2 repeat RNA	0.09302	0.02326	0.02326	0.02326	0.02326	0.0	0.04651	0.11628	0.09302	0.0	0.04651	0.02326	0.04651	0.02326	0.02326	0.04651	0.02326	0.04651	0.02326	0.0	0.0	0.02326	0.02326	0.0	0.16279	0.02326	0.0	0.0	0.02326	0.0	0.0	0.0	
Target_236	5′CAG/3′GAC x 3 repeat RNA	0.09302	0.02326	0.02326	0.02326	0.02326	0.0	0.04651	0.11628	0.09302	0.0	0.04651	0.02326	0.04651	0.02326	0.02326	0.04651	0.02326	0.04651	0.02326	0.0	0.0	0.02326	0.02326	0.0	0.16279	0.02326	0.0	0.0	0.02326	0.0	0.0	0.0	
Target_237	5′CAG/3′GAC x 4 repeat RNA	0.09302	0.02326	0.02326	0.02326	0.02326	0.0	0.04651	0.11628	0.09302	0.0	0.04651	0.02326	0.04651	0.02326	0.02326	0.04651	0.02326	0.04651	0.02326	0.0	0.0	0.02326	0.02326	0.0	0.16279	0.02326	0.0	0.0	0.02326	0.0	0.0	0.0	
Target_238	5′CAG/3′GAC x 5 repeat RNA	0.09302	0.02326	0.02326	0.02326	0.02326	0.0	0.04651	0.11628	0.09302	0.0	0.04651	0.02326	0.04651	0.02326	0.02326	0.04651	0.02326	0.04651	0.02326	0.0	0.0	0.02326	0.02326	0.0	0.16279	0.02326	0.0	0.0	0.02326	0.0	0.0	0.0	
Target_234	5'CAG/3'GUC x 6 repeat RNA	0.09302	0.02326	0.02326	0.02326	0.02326	0.02326	0.04651	0.06977	0.09302	0.0	0.02326	0.06977	0.04651	0.02326	0.0	0.04651	0.02326	0.04651	0.0	0.04651	0.0	0.02326	0.0	0.0	0.16279	0.02326	0.0	0.0	0.02326	0.02326	0.0	0.0	
Target_239	5′CAG/3′GAC x 33 repeat RNA	0.09302	0.02326	0.02326	0.02326	0.02326	0.0	0.04651	0.11628	0.09302	0.0	0.04651	0.02326	0.04651	0.02326	0.02326	0.04651	0.02326	0.04651	0.02326	0.0	0.0	0.02326	0.02326	0.0	0.16279	0.02326	0.0	0.0	0.02326	0.0	0.0	0.0	
Target_240	5′CAG/3′GAC internal loop	0.09302	0.02326	0.02326	0.02326	0.02326	0.0	0.04651	0.11628	0.09302	0.0	0.04651	0.02326	0.04651	0.02326	0.02326	0.04651	0.02326	0.04651	0.02326	0.0	0.0	0.02326	0.02326	0.0	0.16279	0.02326	0.0	0.0	0.02326	0.0	0.0	0.0	
Target_241	5'CAG/3'GUC internal loop	0.09302	0.02326	0.02326	0.02326	0.02326	0.02326	0.04651	0.06977	0.09302	0.0	0.02326	0.06977	0.04651	0.02326	0.0	0.04651	0.02326	0.04651	0.0	0.04651	0.0	0.02326	0.0	0.0	0.16279	0.02326	0.0	0.0	0.02326	0.02326	0.0	0.0	
Target_242	KRAS RNA G-quadruplex utr-1	0.0	0.0	0.07692	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15385	0.0	0.07692	0.07692	0.23077	0.07692	0.0	0.15385	0.0	0.0	0.0	0.07692	0.0	0.07692	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Target_243	KRAS RNA G-quadruplex utr-z	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05556	0.0	0.0	0.11111	0.11111	0.22222	0.0	0.05556	0.11111	0.0	0.22222	0.0	0.0	0.0	0.0	0.0	0.05556	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05556	
Target_244	KRAS RNA G-quadruplex utr-4	0.0	0.0	0.05263	0.05263	0.0	0.0	0.05263	0.0	0.0	0.0	0.05263	0.05263	0.21053	0.0	0.05263	0.15789	0.0	0.21053	0.0	0.0	0.0	0.0	0.0	0.05263	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05263	
Target_245	RNA Hairpin	0.0	0.0	0.0625	0.0	0.0	0.0	0.0	0.0	0.3125	0.0	0.0	0.0	0.0625	0.0	0.0625	0.0625	0.3125	0.0625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0625	
Target_248	Oligo-4, an AGGAAG-containing RNA 15-mer	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.30769	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.46154	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07692	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15385	
Target_249	Oligo-7, an AAGGAG-containing RNA 15-mer	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.46154	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.30769	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23077	
