,pdb id,unfiltered lig,metal,covalent lig,lig,lig filtered,lig num,res,res lig,res site frac,res filtered,res filtered lig,res num,lig (type),lig num (type),lig (mass),lig num (mass),rna frac,ribosomal rna,viral rna,ribozyme,riboswitch,aptamer,primer complex,splicing-related,other structure,type num,elements,elements out,size dim1,size dim2,size dim3,size
54,3K0J,"['MG', 'TPP']",['MG'],[],['TPP'],['TPP'],1,"[601, 602]","['TPP', 'TPP']","[1.0, 1.0]","[601, 602]","['TPP', 'TPP']",2,['TPP'],1.0,['TPP'],1,0.5675549322113137,0,0,0,1,0,0,1,0,2,['C' 'N' 'O' 'P'],[],44.83989,48.929207,109.39077,109.39077
56,3D2G,"['HOH', 'MG', 'TPP']",['MG'],[],"['HOH', 'TPP']",['TPP'],1,[83],['TPP'],[1.0],[83],['TPP'],1,['TPP'],1.0,['TPP'],1,1.0,0,0,0,1,0,0,0,0,1,['C' 'N' 'O' 'P'],[],40.880444,69.778465,42.096912,69.778465
62,3SKR,"['CCC', 'GNG', 'GTP', 'HOH', 'MG', 'NCO']",['MG'],"['GTP', 'CCC', 'GTP', 'CCC']","['GNG', 'HOH', 'NCO']",['GNG'],1,[120],['GNG'],[1.0],[120],['GNG'],1,['GNG'],1.0,['GNG'],1,1.0,0,0,0,1,0,0,0,0,1,['C' 'N' 'O' 'P'],[],53.219887,29.878319,71.66213,71.66213
68,6QIV,"['HOH', 'J4H']",[],[],"['HOH', 'J4H']",['J4H'],1,[101],['J4H'],[1.0],[101],['J4H'],1,['J4H'],1.0,['J4H'],1,1.0,0,0,0,0,0,0,0,1,1,['C' 'N' 'O' 'P'],[],35.125076,16.12691,18.486969,35.125076
69,6YL5,"['CBV', 'HOH', 'MG', 'NA', 'SAH', 'SO4']","['MG', 'NA', 'SO4']","['CBV', 'CBV', 'CBV', 'CBV', 'CBV', 'CBV', 'CBV', 'CBV', 'CBV', 'CBV', 'CBV', 'CBV']","['HOH', 'SAH']",['SAH'],1,"[101, 102]","['SAH', 'SAH']","[0.930928626247122, 0.9029535864978903]","[101, 102]","['SAH', 'SAH']",2,['SAH'],1.0,['SAH'],1,1.0,0,0,0,1,0,0,0,0,1,['BR' 'C' 'H' 'N' 'O' 'P'],['BR'],78.41193,86.97916,41.00717,86.97916
72,6YSI,"['MG', 'T1C', 'ZN']","['MG', 'ZN']",[],['T1C'],['T1C'],1,"[3160, 201, 205]","['T1C', 'T1C', 'T1C']","[0.7878787878787878, 0.8497109826589595, 0.8260869565217391]","[3160, 201, 205]","['T1C', 'T1C', 'T1C']",3,['T1C'],1.0,['T1C'],1,0.7187223246128438,1,0,0,0,0,0,0,0,1,['C' 'N' 'O' 'P'],[],330.717,356.283,294.00064,356.283
74,2O3W,"['HOH', 'PAR']",[],[],"['HOH', 'PAR']",['PAR'],1,[101],['PAR'],[1.0],[101],['PAR'],1,['PAR'],1.0,['PAR'],1,1.0,1,0,0,0,0,0,0,0,1,['C' 'N' 'O' 'P'],[],24.735268,26.73788,45.232525,45.232525
75,6WZS,"['HOH', 'K', 'MG', 'UG4']","['K', 'MG']",[],"['HOH', 'UG4']",['UG4'],1,[107],['UG4'],[1.0],[107],['UG4'],1,['UG4'],1.0,['UG4'],1,1.0,0,0,0,1,0,0,0,0,1,['C' 'N' 'O' 'P'],[],49.81613,69.93287,74.98899,74.98899
77,6N5T,"['2BA', 'GTP', 'K', 'MG', 'SO4']","['MG', 'K', 'SO4']",['GTP'],['2BA'],['2BA'],1,"[201, 202]","['2BA', '2BA']","[1.0, 1.0]","[201, 202]","['2BA', '2BA']",2,['2BA'],1.0,['2BA'],1,1.0,0,0,0,1,0,0,0,0,1,['C' 'N' 'O' 'P'],[],88.565575,52.961124,59.336243,88.565575
78,6TF3,"['3AT', 'HOH', 'MG', 'NA']","['MG', 'NA']",[],"['3AT', 'HOH']",['3AT'],1,[109],['3AT'],[1.0],[109],['3AT'],1,['3AT'],1.0,['3AT'],1,1.0,0,0,0,1,0,0,0,0,1,['C' 'N' 'O' 'P'],[],37.677505,27.190575,59.081944,59.081944
81,6XZ7,"['1MA', '1MG', '2MA', '2MG', '31M', '3TD', '4D4', '4SU', '5MC', '5MU', '6MZ', '7MG', 'DI0', 'G7M', 'H2U', 'HOH', 'M2G', 'MEQ', 'MG', 'OMC', 'OMG', 'OMU', 'PSU', 'YYG']",['MG'],"['1MG', '1MG', 'PSU', '5MU', 'PSU', '5MU', 'PSU', 'PSU', '6MZ', '6MZ', '2MG', '2MG', 'PSU', 'PSU', '3TD', 'PSU', 'PSU', '5MU', '5MU', '5MC', '5MC', '6MZ', '6MZ', 'G7M', 'G7M', 'OMG', 'OMG', '2MG', '2MG', 'H2U', 'H2U', 'PSU', 'PSU', 'OMC', 'OMC', '2MA', '2MA', 'PSU', 'PSU', 'OMU', 'OMU', 'PSU', 'PSU', 'PSU', 'PSU', 'PSU', '4D4', '4D4', '4SU', '4SU', '5MC', '5MC', '5MU', '5MU', 'PSU', 'PSU', '2MG', '2MG', 'H2U', 'H2U', 'H2U', 'M2G', 'M2G', 'OMC', 'OMC', 'OMG', 'OMG', 'YYG', 'YYG', 'PSU', '5MC', 'PSU', '5MC', '7MG', '7MG', '5MC', '5MC', '5MU', '5MU', 'PSU', 'PSU', '1MA', '1MA']","['31M', 'DI0', 'HOH', 'MEQ']",['31M'],1,[76],['31M'],[0.9321192052980133],[76],['31M'],1,"['31M', 'DI0', 'MEQ']",3.0,['31M'],1,0.7206335570469798,1,0,0,0,0,0,0,0,1,['C' 'N' 'O' 'P' 'S'],[],368.1322,332.6719,378.48996,378.48996
86,4DR1,"['0TD', '2MG', '4OC', '5MC', '7MG', 'HOH', 'M2G', 'MA6', 'MG', 'PSU', 'UR3', 'ZN']","['MG', 'ZN']","['PSU', 'PSU', '7MG', '7MG', 'M2G', '5MC', 'M2G', '5MC', '2MG', '2MG', '5MC', '5MC', '4OC', '4OC', '5MC', '5MC', '5MC', '5MC', 'UR3', 'UR3', 'PSU', 'PSU', 'PSU', '0TD', '0TD']","['HOH', 'MA6']",['MA6'],1,"[1518, 1519]","['MA6', 'MA6']","[1.0, 1.0]","[1518, 1519]","['MA6', 'MA6']",2,['MA6'],1.0,['MA6'],1,0.6279423523217037,1,0,0,0,0,0,0,0,1,['C' 'N' 'O' 'P' 'S'],[],300.06708,182.27643,140.60263,300.06708
88,1F1T,"['5BU', 'HOH', 'ROS', 'SR']",['SR'],"['5BU', '5BU', '5BU', '5BU', '5BU', '5BU', '5BU', '5BU', '5BU', '5BU']","['HOH', 'ROS']",['ROS'],1,[101],['ROS'],[1.0],[101],['ROS'],1,['ROS'],1.0,['ROS'],1,1.0,0,0,0,0,1,0,0,0,1,['BR' 'C' 'N' 'O' 'P'],['BR'],164.39182,109.78706,115.81112,164.39182
91,5WNS,"['0TD', '2MG', '4OC', '5MC', '7MG', 'HOH', 'M2G', 'MA6', 'MG', 'PSU', 'UR3', 'ZN']","['MG', 'ZN']","['5MC', 'PSU', 'PSU', '7MG', '7MG', 'M2G', '5MC', 'M2G', '5MC', '2MG', '2MG', '5MC', '5MC', '4OC', '4OC', '5MC', '5MC', '5MC', '5MC', 'UR3', 'UR3', 'PSU', 'PSU', 'PSU', '0TD', '0TD']","['HOH', 'MA6']",['MA6'],1,"[1518, 1519]","['MA6', 'MA6']","[1.0, 1.0]","[1518, 1519]","['MA6', 'MA6']",2,['MA6'],1.0,['MA6'],1,0.6279423523217037,1,0,0,0,0,0,0,0,1,['C' 'N' 'O' 'P' 'S'],[],297.41937,180.92918,140.24179,297.41937
95,6QUL,"['FME', 'JJH', 'MG', 'ZN']","['MG', 'ZN']",['FME'],['JJH'],['JJH'],1,[3370],['JJH'],[0.9835255354200988],[3370],['JJH'],1,['JJH'],1.0,['JJH'],1,0.7197469778548222,1,0,0,0,0,0,0,0,1,['C' 'N' 'O' 'P' 'S'],[],301.2988,293.9427,276.6735,301.2988
99,4TS2,"['38E', 'CCC', 'FRU', 'GLC', 'HOH', 'K', 'MG']","['MG', 'K']","['CCC', 'CCC', 'FRU', 'GLC']","['38E', 'HOH']",['38E'],1,[204],['38E'],[1.0],[204],['38E'],1,['38E'],1.0,['38E'],1,1.0,0,0,0,0,1,0,0,0,1,['C' 'N' 'O' 'P'],[],45.103363,26.189985,71.43988,71.43988
102,4DV3,"['0TD', '2MG', '4OC', '5MC', '7MG', 'HOH', 'M2G', 'MA6', 'MG', 'PSU', 'SRY', 'UR3', 'ZN']","['MG', 'ZN']","['PSU', 'PSU', '7MG', '7MG', 'M2G', '5MC', 'M2G', '5MC', '2MG', '2MG', '5MC', '5MC', '4OC', '4OC', '5MC', '5MC', '5MC', '5MC', 'UR3', 'UR3', 'MA6', 'MA6', 'MA6', 'PSU', 'PSU', 'PSU', '0TD', '0TD']","['HOH', 'SRY']",['SRY'],1,[1601],['SRY'],[0.8445475638051044],[1601],['SRY'],1,['SRY'],1.0,['SRY'],1,0.6279568634333743,1,0,0,0,0,0,0,0,1,['C' 'N' 'O' 'P' 'S'],[],297.8772,180.93935,139.83853,297.8772
103,7D7W,"['GTP', 'HOH', 'MG', 'NAD']",['MG'],[],"['GTP', 'HOH', 'NAD']",['NAD'],1,[102],['NAD'],[1.0],[102],['NAD'],1,['NAD'],1.0,"['GTP', 'NAD']",2,1.0,0,0,0,1,0,0,0,0,1,['C' 'N' 'O' 'P'],[],46.783226,32.701164,60.77583,60.77583
106,7DUH,"['0TD', '2MG', '4OC', '5MC', '7MG', 'HJO', 'HOH', 'M2G', 'MA6', 'MG', 'PSU', 'UR3', 'ZN']","['MG', 'ZN']","['PSU', 'PSU', '7MG', '7MG', 'M2G', '5MC', 'M2G', '5MC', '2MG', '2MG', '5MC', '5MC', '4OC', '4OC', '5MC', '5MC', '5MC', '5MC', 'UR3', 'UR3', 'MA6', 'MA6', 'MA6', 'PSU', 'PSU', 'PSU', '0TD', '0TD']","['HJO', 'HOH']",['HJO'],1,[1601],['HJO'],[0.9707317073170731],[1601],['HJO'],1,['HJO'],1.0,['HJO'],1,0.6310792257266065,1,0,0,0,0,0,0,0,1,['C' 'N' 'O' 'P' 'S'],[],299.3733,182.40163,140.50856,299.3733
108,7DUJ,"['0TD', '2MG', '4OC', '5MC', '7MG', 'HOH', 'M2G', 'MA6', 'MG', 'PSU', 'SIS', 'UR3', 'ZN']","['MG', 'ZN']","['PSU', 'PSU', '7MG', '7MG', 'M2G', '5MC', 'M2G', '5MC', '2MG', '2MG', '5MC', '5MC', '4OC', '4OC', '5MC', '5MC', '5MC', '5MC', 'UR3', 'UR3', 'PSU', 'PSU', 'PSU', '0TD', '0TD']","['HOH', 'MA6', 'SIS']",['MA6' 'SIS'],2,"[1833, 1518, 1519]","['SIS', 'MA6', 'MA6']","[0.9413333333333334, 1.0, 1.0]","[1833, 1518, 1519]","['SIS', 'MA6', 'MA6']",3,"['MA6', 'SIS']",2.0,"['MA6', 'SIS']",2,0.6310792257266065,1,0,0,0,0,0,0,0,1,['C' 'N' 'O' 'P' 'S'],[],298.59467,181.95381,139.63924,298.59467
109,4JI5,"['0TD', '2MG', '4OC', '5MC', '7MG', 'HOH', 'M2G', 'MA6', 'MG', 'PSU', 'UR3', 'ZN']","['MG', 'ZN']","['PSU', 'PSU', '7MG', '7MG', 'M2G', '5MC', 'M2G', '5MC', '2MG', '2MG', '5MC', '5MC', '4OC', '4OC', '5MC', '5MC', '5MC', '5MC', 'UR3', 'UR3', 'PSU', 'PSU', 'PSU', '0TD', '0TD']","['HOH', 'MA6']",['MA6'],1,"[1518, 1519]","['MA6', 'MA6']","[1.0, 1.0]","[1518, 1519]","['MA6', 'MA6']",2,['MA6'],1.0,['MA6'],1,0.6282540919719407,1,0,0,0,0,0,0,0,1,['C' 'N' 'O' 'P' 'S'],[],140.5716,235.68507,135.4952,235.68507
110,2NZ4,"['A2M', 'GLP', 'GTP', 'HOH', 'MG']",['MG'],"['A2M', 'A2M', 'GTP', 'GTP', 'GTP', 'A2M', 'A2M', 'GTP', 'A2M', 'A2M', 'GTP', 'A2M', 'A2M', 'GTP']","['GLP', 'HOH']",['GLP'],1,"[5001, 5002, 5003, 5004]","['GLP', 'GLP', 'GLP', 'GLP']","[1.0, 1.0, 1.0, 1.0]","[5001, 5002, 5003, 5004]","['GLP', 'GLP', 'GLP', 'GLP']",4,['GLP'],1.0,['GLP'],1,0.8155758498224251,0,0,1,0,0,0,0,0,1,['C' 'N' 'O' 'P'],[],55.7638,106.20175,106.56708,106.56708
113,2OE5,"['AM2', 'HOH', 'MG', 'SO4']","['SO4', 'MG']",[],"['AM2', 'HOH']",['AM2'],1,[101],['AM2'],[1.0],[101],['AM2'],1,['AM2'],1.0,['AM2'],1,1.0,1,0,0,0,0,0,0,0,1,['C' 'N' 'O' 'P'],[],35.246483,18.842802,72.24506,72.24506
114,7TZT,"['KXC', 'MG', 'MN']","['MN', 'MG']",[],['KXC'],['KXC'],1,[104],['KXC'],[1.0],[104],['KXC'],1,['KXC'],1.0,['KXC'],1,1.0,0,0,0,1,0,0,0,0,1,['C' 'N' 'O' 'P'],[],35.17745,34.843098,54.26951,54.26951
119,5WNV,"['0TD', '12A', '2MG', '4OC', '5MC', '70U', '7MG', 'A2M', 'B6M', 'HOH', 'K', 'M2G', 'MA6', 'MG', 'PSU', 'UR3', 'ZN']","['MG', 'K', 'ZN']","['PSU', 'PSU', '7MG', '7MG', 'M2G', '5MC', 'M2G', '5MC', '2MG', '2MG', '5MC', '5MC', '4OC', '4OC', '5MC', '5MC', '5MC', '5MC', 'UR3', 'UR3', 'MA6', 'MA6', 'MA6', 'PSU', 'PSU', 'PSU', '0TD', '0TD', 'A2M', 'A2M', '70U', '70U', '12A', '12A', 'PSU', 'PSU']","['B6M', 'HOH']",['B6M'],1,[1856],['B6M'],[0.9399038461538461],[1856],['B6M'],1,['B6M'],1.0,['B6M'],1,0.6300791761039162,1,0,0,0,0,0,0,0,1,['C' 'N' 'O' 'P' 'S'],[],295.93185,181.45444,139.80675,295.93185
122,6DLT,"['CCC', 'GTP', 'HOH', 'MG', 'NA', 'PRP']","['MG', 'NA']","['GTP', 'CCC']","['HOH', 'PRP']",['PRP'],1,[207],['PRP'],[1.0],[207],['PRP'],1,['PRP'],1.0,['PRP'],1,1.0,0,0,0,1,0,0,0,0,1,['C' 'N' 'O' 'P'],[],41.884262,79.98013,68.30776,79.98013
123,3D2X,"['D2X', 'HOH', 'MG']",['MG'],[],"['D2X', 'HOH']",['D2X'],1,"[84, 85]","['D2X', 'D2X']","[1.0, 1.0]","[84, 85]","['D2X', 'D2X']",2,['D2X'],1.0,['D2X'],1,1.0,0,0,0,1,0,0,0,0,1,['C' 'N' 'O' 'P'],[],41.279915,70.73567,43.5205,70.73567
124,4GKK,"['MG', 'PAR', 'RSQ', 'ZN']","['MG', 'ZN']",[],"['PAR', 'RSQ']",['PAR' 'RSQ'],2,"[1785, 34]","['PAR', 'RSQ']","[0.943127962085308, 1.0]","[1785, 34]","['PAR', 'RSQ']",2,"['PAR', 'RSQ']",2.0,"['PAR', 'RSQ']",2,0.6297173444239064,1,0,0,0,0,0,0,0,1,['C' 'N' 'O' 'P'],[],298.83768,183.00032,139.8814,298.83768
129,4F8U,"['HOH', 'SIS']",[],[],"['HOH', 'SIS']",['SIS'],1,[101],['SIS'],[1.0],[101],['SIS'],1,['SIS'],1.0,['SIS'],1,1.0,1,0,0,0,0,0,0,0,1,['C' 'N' 'O' 'P'],[],50.28489,25.249239,32.75493,50.28489
130,2O3V,"['HOH', 'N33']",[],[],"['HOH', 'N33']",['N33'],1,[50],['N33'],[1.0],[50],['N33'],1,['N33'],1.0,['N33'],1,1.0,1,0,0,0,0,0,0,0,1,['C' 'N' 'O' 'P'],[],22.208881,23.44101,60.71431,60.71431
133,6TFE,"['BR', 'HOH', 'MG', 'N6E', 'NA']","['MG', 'BR', 'NA']",[],"['HOH', 'N6E']",['N6E'],1,[117],['N6E'],[1.0],[117],['N6E'],1,['N6E'],1.0,['N6E'],1,1.0,0,0,0,1,0,0,0,0,1,['C' 'H' 'N' 'O' 'P'],[],38.14668,30.414303,58.773876,58.773876
135,5HL7,"['62B', 'EOH', 'EPE', 'MG', 'MN', 'MPD', 'SPD']","['MN', 'MG']",[],"['62B', 'EOH', 'EPE', 'MPD', 'SPD']",['62B'],1,[3003],['62B'],[1.0],[3003],['62B'],1,['62B'],1.0,"['62B', 'EPE']",2,0.7484173882880539,1,0,0,0,0,0,0,0,1,['C' 'N' 'O' 'P'],[],158.15858,168.3187,134.53688,168.3187
137,3FWO,['MT9'],[],[],['MT9'],['MT9'],1,[2881],['MT9'],[1.0],[2881],['MT9'],1,['MT9'],1.0,['MT9'],1,1.0,1,0,0,0,0,0,0,0,1,['C' 'N' 'O' 'P'],[],140.21887,271.12286,212.04718,271.12286
145,3CXC,"['CD', 'CL', 'HOH', 'K', 'MG', 'NA', 'SLD']","['MG', 'K', 'NA', 'CL', 'CD']",[],"['HOH', 'SLD']",['SLD'],1,[9500],['SLD'],[0.9926739926739927],[9500],['SLD'],1,['SLD'],1.0,['SLD'],1,0.6815328854314003,1,0,0,0,0,0,0,0,1,['C' 'N' 'O' 'P'],[],157.19844,214.5922,202.65448,214.5922
146,4W92,"['2BA', 'EDO', 'K', 'MG', 'MSE']","['MG', 'K']","['MSE', 'MSE', 'MSE', 'MSE', 'MSE', 'MSE']","['2BA', 'EDO']",['2BA'],1,"[208, 209]","['2BA', '2BA']","[1.0, 1.0]","[208, 209]","['2BA', '2BA']",2,['2BA'],1.0,['2BA'],1,0.7619940029985007,0,0,0,1,0,0,0,0,1,['C' 'N' 'O' 'P' 'SE'],['SE'],106.78029,211.55045,1033.3212,1033.3212
152,7DUI,"['0TD', '2MG', '4OC', '5MC', '7MG', 'HKO', 'HOH', 'M2G', 'MA6', 'MG', 'PSU', 'UR3', 'ZN']","['MG', 'ZN']","['PSU', 'PSU', '7MG', '7MG', 'M2G', '5MC', 'M2G', '5MC', '2MG', '2MG', '5MC', '5MC', '4OC', '4OC', '5MC', '5MC', '5MC', '5MC', 'UR3', 'UR3', 'PSU', 'PSU', 'PSU', '0TD', '0TD']","['HKO', 'HOH', 'MA6']",['HKO' 'MA6'],2,"[1601, 1518, 1519]","['HKO', 'MA6', 'MA6']","[0.9583333333333334, 1.0, 1.0]","[1601, 1518, 1519]","['HKO', 'MA6', 'MA6']",3,"['HKO', 'MA6']",2.0,"['HKO', 'MA6']",2,0.6310792257266065,1,0,0,0,0,0,0,0,1,['C' 'N' 'O' 'P' 'S'],[],298.58026,181.72032,139.75932,298.58026
155,4DV0,"['0TD', '2MG', '4OC', '5MC', '7MG', 'HOH', 'M2G', 'MA6', 'MG', 'PSU', 'UR3', 'ZN']","['MG', 'ZN']","['PSU', 'PSU', '7MG', '7MG', 'M2G', '5MC', 'M2G', '5MC', '2MG', '2MG', '5MC', '5MC', '4OC', '4OC', '5MC', '5MC', '5MC', '5MC', 'UR3', 'UR3', 'PSU', 'PSU', 'PSU', '0TD', '0TD']","['HOH', 'MA6']",['MA6'],1,"[1518, 1519]","['MA6', 'MA6']","[1.0, 1.0]","[1518, 1519]","['MA6', 'MA6']",2,['MA6'],1.0,['MA6'],1,0.6279641185647425,1,0,0,0,0,0,0,0,1,['C' 'N' 'O' 'P' 'S'],[],296.76392,182.76917,140.27657,296.76392
157,6QIT,"['HOH', 'J48']",[],[],"['HOH', 'J48']",['J48'],1,"[101, 102]","['J48', 'J48']","[1.0, 1.0]","[101, 102]","['J48', 'J48']",2,['J48'],1.0,['J48'],1,1.0,0,0,0,0,0,0,0,1,1,['C' 'N' 'O' 'P'],[],37.429714,26.79347,29.50588,37.429714
160,1NTA,"['BA', 'NA', 'SRY']","['BA', 'NA']",[],['SRY'],['SRY'],1,[26],['SRY'],[1.0],[26],['SRY'],1,['SRY'],1.0,['SRY'],1,1.0,0,0,0,0,1,0,0,0,1,['C' 'N' 'O' 'P'],[],34.835064,47.996212,30.462242,47.996212
161,1YJN,"['1MA', 'CD', 'CL', 'CLY', 'HOH', 'K', 'MG', 'NA', 'OMG', 'OMU', 'PSU', 'UR3']","['MG', 'K', 'NA', 'CL', 'CD']","['1MA', '1MA', 'OMU', 'OMG', 'OMU', 'OMG', 'UR3', 'UR3', 'PSU', 'PSU']","['CLY', 'HOH']",['CLY'],1,[9000],['CLY'],[0.9976958525345622],[9000],['CLY'],1,['CLY'],1.0,['CLY'],1,0.6767744561928548,1,0,0,0,0,0,0,0,1,['C' 'N' 'O' 'P'],[],157.1434,214.06909,207.90254,214.06909
165,1M90,"['ACA', 'CD', 'CL', 'HOH', 'K', 'MG', 'NA', 'PHA', 'SPS']","['MG', 'NA', 'K', 'CL', 'CD']","['PHA', 'ACA', 'PHA']","['HOH', 'SPS']",['SPS'],1,[9080],['SPS'],[0.972636815920398],[9080],['SPS'],1,['SPS'],1.0,['SPS'],1,0.6816760060567879,1,0,0,0,0,0,0,0,1,['C' 'N' 'O' 'P'],[],156.54042,214.03783,201.91374,214.03783
169,3BNQ,"['5BU', 'HOH', 'K', 'PAR', 'SR']","['SR', 'K']","['5BU', '5BU', '5BU', '5BU', '5BU', '5BU', '5BU', '5BU']","['HOH', 'PAR']",['PAR'],1,[101],['PAR'],[1.0],[101],['PAR'],1,['PAR'],1.0,['PAR'],1,1.0,1,0,0,0,0,0,0,0,1,['BR' 'C' 'N' 'O' 'P'],['BR'],43.161713,59.59722,32.972607,59.59722
170,7DUL,"['0TD', '2MG', '4OC', '5MC', '7MG', 'HOH', 'M2G', 'MA6', 'MG', 'PSU', 'SIS', 'UR3', 'ZN']","['MG', 'ZN']","['PSU', 'PSU', '7MG', '7MG', 'M2G', '5MC', 'M2G', '5MC', '2MG', '2MG', '5MC', '5MC', '4OC', '4OC', '5MC', '5MC', '5MC', '5MC', 'UR3', 'UR3', 'PSU', 'PSU', 'PSU', '0TD', '0TD']","['HOH', 'MA6', 'SIS']",['MA6' 'SIS'],2,"[1835, 1518, 1519]","['SIS', 'MA6', 'MA6']","[0.9433962264150944, 1.0, 1.0]","[1835, 1518, 1519]","['SIS', 'MA6', 'MA6']",3,"['MA6', 'SIS']",2.0,"['MA6', 'SIS']",2,0.6310792257266065,1,0,0,0,0,0,0,0,1,['C' 'N' 'O' 'P' 'S'],[],299.16666,182.19624,140.669,299.16666
178,3DVV,"['CL', 'HOH', 'K', 'OMU', 'RIO']","['K', 'CL']","['OMU', 'OMU', 'OMU', 'OMU']","['HOH', 'RIO']",['RIO'],1,"[26, 27]","['RIO', 'RIO']","[1.0, 1.0]","[26, 27]","['RIO', 'RIO']",2,['RIO'],1.0,['RIO'],1,1.0,1,0,0,0,0,0,0,0,1,['C' 'N' 'O' 'P'],[],31.988186,28.606947,45.47324,45.47324
179,5V7Q,['917'],[],[],['917'],['917'],1,[5001],['917'],[1.0],[5001],['917'],1,['917'],1.0,['917'],1,0.7362224767723049,1,0,0,0,0,0,0,0,1,['C' 'N' 'O' 'P'],[],256.4501,252.24559,261.13684,261.13684
